
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555515907521 ;AC ;RIO BRANCO ;TANCREDO NEVES ;RUA PLACIDO DE CASTRO, N. 54 ;83.226,00;195.000,00;57.32;Casa, 0.00 de área total, 139.89 de área privativa, 269.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555515907521
 1555537633582 ;AC ;RIO BRANCO ;CONJUNTO BELA VISTA ;RUA JAIME PEREIRA, N. 114, QUADRA 11 LOTE 10 ;256.280,00;400.000,00;35.93;Casa, 0.00 de área total, 316.00 de área privativa, 323.70 de área do terreno, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555537633582
 1444406469299 ;AC ;RIO BRANCO ;LOTEAMENTO SANTO AFONSO ;AVENIDA FRANCISCO PINHEIRO, N. 0, LT 03, QD 74 ;189.924,00;294.000,00;35.40;Casa, 0.00 de área total, 123.45 de área privativa, 375.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406469299
 1555518664699 ;AC ;RIO BRANCO ;CONJUNTO MASCARENHAS DE MORAES ;RUA CATUMBI, N. 121, LOTE 25 QUADRA 10 ;167.314,00;259.000,00;35.40;Casa, 0.00 de área total, 83.00 de área privativa, 250.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555518664699
 10151420 ;AC ;RIO BRANCO ;FLORESTA SUL ;ESTRADA DA FLORESTA ;5.785.000,00;8.900.000,00;35.00;Gleba, 0.00 de área total, 0.00 de área privativa, 49338.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10151420
 10170136 ;AC ;RIO BRANCO ;CENTRO ;AVENIDA BRASIL, N. 480, COBERTURA ;651.678,60;898.000,00;27.43;Sala, 0.00 de área total, 346.49 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170136
 10170137 ;AC ;RIO BRANCO ;MORADA DO SOL ;ESTRADA DA USINA, N. S/N, AO LADO DO RESIDENCIAL PORTALE ;344.707,50;475.000,00;27.43;Terreno, 0.00 de área total, 0.00 de área privativa, 618.61 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170137
 1444401277529 ;AC ;RIO BRANCO ;PORTAL DA AMAZONIA ;RUA IQUIRI, N. SN, LT 25 QD 13 ;300.358,34;325.000,00;7.59;Casa, 0.00 de área total, 139.69 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401277529
 1555503000358 ;AC ;RIO BRANCO ;CONJUNTO GUIOMARD SANTOS ;RUA JEPHETE MAIA, N. 36, . ;343.000,00;343.000,00;0.00;Casa, 0.00 de área total, 154.24 de área privativa, 350.27 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555503000358
 1444419429487 ;AC ;RIO BRANCO ;CONJUNTO OURICURI ;RUA UIRAPURU, N. 76, LT 16 QD 46 ;326.816,36;324.000,00;0.00;Casa, 0.00 de área total, 203.19 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419429487
 1555527957261 ;AC ;SENA MADUREIRA ;Centro ;RUA MANOEL FIRMINO, N. 44, LT 04 QD 02 ;116.634,00;210.000,00;44.46;Casa, 0.00 de área total, 133.71 de área privativa, 267.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555527957261
 8444415700664 ;AC ;SENA MADUREIRA ;CENTRO ;RUA MONSENHOR TAVORA, N. 6185, LT 11 QD 61 ;104.400,00;174.000,00;40.00;Casa, 0.00 de área total, 91.94 de área privativa, 211.02 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415700664
 1444411881682 ;AC ;SENA MADUREIRA ;ANA ALVES VIEIRA ;AVENIDA VIRGULINO DA SILVA DINIZ, N. 1050, LT 82 QD 31 ;67.830,00;105.000,00;35.40;Casa, 0.00 de área total, 69.85 de área privativa, 166.75 de área do terreno,  2 qto(s), WC, 1 sala(s), 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411881682
 1444407616236 ;AC ;SENA MADUREIRA ;CENTRO ;ESTRADA RODOVIA BR 364, N. SN, LOTE 1219 SETOR 4 QUADRA 1 ;351.000,00;324.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1080.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407616236
