
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444413179266 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;RUA ULISSES PEREIRA DE LIMA, N. 35, LT 27  QD B ;96.985,00;175.000,00;44.58;Casa, 0.00 de área total, 91.64 de área privativa, 135.29 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413179266
 8555514190690 ;AL ;ARAPIRACA ;CANAFISTULA ;RUA PROJETADA 02, N. 305, QD B LT 34 ;84.282,13;152.078,90;44.58;Casa, 0.00 de área total, 81.74 de área privativa, 146.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555514190690
 8444415565023 ;AL ;ARAPIRACA ;BOA VISTA ;RUA LUIZ TERTULIANO DA SILVA, N. 275, LT 22, QD H ;124.674,00;220.000,00;43.33;Casa, 0.00 de área total, 97.38 de área privativa, 160.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415565023
 8444411947045 ;AL ;ARAPIRACA ;POVOADO NOVO MUNDO ;RUA PROJETADA A, N. 278, . ;103.647,05;167.000,00;37.94;Casa, 0.00 de área total, 86.11 de área privativa, 180.39 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411947045
 1444407382456 ;AL ;ARAPIRACA ;PRIMAVERA ;RUA JOSE BARBOSA LEAO, N. 23 ;100.130,00;155.000,00;35.40;Casa, 0.00 de área total, 117.40 de área privativa, 175.55 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, sacada, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407382456
 1444406574440 ;AL ;ARAPIRACA ;JARDIM TROPICAL ;RUA GENESIO RODRIGUES NUMERO 89 ESQUINA COM A RUA, N. 89 ;303.620,00;470.000,00;35.40;Casa, 0.00 de área total, 189.47 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 3 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406574440
 1444407384963 ;AL ;ARAPIRACA ;BAIXA GRANDE ;RUA FRANCISCO LUCIO DA SILVA, N. 97, Apto 202, PAV 03 ;144.950,00;223.000,00;35.00;Apartamento, 0.00 de área total, 72.55 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407384963
 1444413386182 ;AL ;ARAPIRACA ;BOA VISTA ;RUA VEREADOR JOAO SATURNINO DE ALMEIDA, N. 36, SN ;145.066,34;223.178,99;35.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1078.96 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413386182
 8444425247962 ;AL ;ARAPIRACA ;GUARIBAS ;RUA 24 DE JUNHO, N. 41, LT 23 ;95.128,26;140.000,00;32.06;Casa, 0.00 de área total, 59.34 de área privativa, 132.16 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425247962
 10179876 ;AL ;ARAPIRACA ;GUARIBAS ;RUA ELISIO CORREIA DE AMORIM (ANT RUA PROJETADA E), N. 00, QD R, LT 10 ;32.471,04;47.000,00;30.92;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10179876
 10171236 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;RUA EM PROJETO T, N. 00, QD N, LT40 - LOT OURO VERDE III ;161.105,38;222.000,00;27.44;Terreno, 0.00 de área total, 0.00 de área privativa, 418.95 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171236
 10167048 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;ALAMEDA PATATIVA, N. 443, QD D, LT 57 ;603.056,70;831.000,00;27.43;Casa, 0.00 de área total, 251.60 de área privativa, 561.90 de área do terreno,  4 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10167048
 10180053 ;AL ;ARAPIRACA ;GUARIBAS ;RUA ANTONIO GOMES REINALDO (ANT RUA PROJETADA F), N. 00, QD R, LT 09 ;29.028,00;40.000,00;27.43;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10180053
 1444403384853 ;AL ;ARAPIRACA ;ITAPOA ;RUA MANOEL MARCELINO, N. 3001, . ;438.493,75;468.000,00;6.31;Casa, 0.00 de área total, 179.04 de área privativa, 360.00 de área do terreno,  3 qto(s), a.serv, WC, 3 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403384853
 8555534228065 ;AL ;ARAPIRACA ;Olho Dagua dos Cazuz ;RUA SANTA ANA ANTIGA RUA PROJETADA 11, N. 324, . ;90.000,00;90.000,00;0.00;Casa, 0.00 de área total, 54.76 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534228065
 8005601030316 ;AL ;ARAPIRACA ;PRIMAVERA ;RUA FRANCISCO CAVALCANTE, N. 1355, LT 13 QD J ;109.000,00;109.000,00;0.00;Casa, 0.00 de área total, 82.18 de área privativa, 187.50 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8005601030316
 8555507984750 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;RUA PROJETADA 09, N. 183, Apto ., LT 04 QD W ;170.000,00;170.000,00;0.00;Casa, 0.00 de área total, 89.60 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555507984750
 8444417393530 ;AL ;ARAPIRACA ;CANAFISTULA ;RUA JAILDE PEREIRA, N. 149, LT 47 QD D ;145.000,00;145.000,00;0.00;Casa, 0.00 de área total, 67.05 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417393530
 8005601025029 ;AL ;ARAPIRACA ;CACIMBAS ;RUA ANTONIO LEITE, N. 301, . ;89.000,00;89.000,00;0.00;Casa, 0.00 de área total, 88.80 de área privativa, 138.00 de área do terreno,  2 qto(s), WC, 3 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8005601025029
 8005601019967 ;AL ;ARAPIRACA ;BAIXA GRANDE ;RUA JOAO DO BEIJO, N. 229, . ;242.208,11;242.208,11;0.00;Casa, 0.00 de área total, 167.28 de área privativa, 290.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), DCE, cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8005601019967
