
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8319600000188 ;AM ;BENJAMIN CONSTANT ;COIMBRA ;RUA FREI LUDOVICO, N. SN, . ;142.584,61;76.000,00;0.00;Casa, 0.00 de área total, 89.90 de área privativa, 350.00 de área do terreno,  4 qto(s), WC, 2 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8319600000188
 10147353 ;AM ;BORBA ;CENTRO ;AVENIDA SILVERIO NERY, N. S/N ;171.600,00;312.000,00;45.00;Loja, 0.00 de área total, 79.20 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10147353
 1555529249639 ;AM ;COARI ;BAIRRO SANTA EFIGENI ;RUA AROA, N. 31, LOTE 31 ;419.658,50;655.000,00;35.93;Terreno, 0.00 de área total, 0.00 de área privativa, 7596.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555529249639
 1444403921492 ;AM ;COARI ;VALE DA BENÇÃO ;RUA ZINEZIO LEITAO DE MENEZES, QD 08 LT 09 ;106.589,99;165.000,00;35.41;Casa, 0.00 de área total, 105.00 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403921492
 1555526643620 ;AM ;GUAJARA ;CENTRO ;RUA ALONSO BARBOSA, N. SN, QD 37 LT 03 ;162.176,80;292.000,00;44.46;Casa, 0.00 de área total, 180.00 de área privativa, 1125.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 5 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555526643620
 1444411709928 ;AM ;HUMAITA ;NOVA ESPERANCA ;RUA CASTELO BRANCO, N. 2345, CS ;188.000,00;188.000,00;0.00;Casa, 0.00 de área total, 95.00 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411709928
 8555525671784 ;AM ;IRANDUBA ;ZONA RURAL ;ESTRADA ETR M URBANO SC ORQUIDEA, N. 8, Apto 202, KM 09  LOTE 36 ;84.366,40;134.000,00;37.04;Apartamento, 0.00 de área total, 59.86 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525671784
 1444415594696 ;AM ;IRANDUBA ;CENTRO ;RODOVIA MANOEL URBANA, N. 21, AM70 KM 11 LT 21 QD 47 ;34.884,00;54.000,00;35.40;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415594696
 1444415419525 ;AM ;IRANDUBA ;CENTRO ;RODOVIA MANOEL URBANO AM70 KM11, N. SN, LT 14 QD 39 GL CACAU PIREIRA ;189.568,04;52.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415419525
 1444415387089 ;AM ;IRANDUBA ;KM 11 ;RODOVIA MANOEL URBANO AM070 KM11 ANTIGA RUA AMORA, N. SN, LT 14 QD 37 GLEBA CACAU PIREIRA ;200.319,18;50.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415387089
 8555502021414 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 104, BL 92 ;55.550,00;101.000,00;45.00;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555502021414
 8555502048657 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 102, BL 88 ;59.400,00;108.000,00;45.00;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s).;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555502048657
 8555513454325 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 201, BL 63 ;61.050,00;111.000,00;45.00;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513454325
 8555514231273 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 204, BL 26 ;64.350,00;117.000,00;45.00;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555514231273
 8555500523145 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 104, BL 38 ;55.849,44;101.000,00;44.71;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555500523145
 8555523051177 ;AM ;MANAUS ;TARUMAACU ;RUA DOS TIGRES, N. 2, Apto 404, BL 05 ;87.009,40;157.000,00;44.58;Apartamento, 0.00 de área total, 49.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555523051177
 8555500556264 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 103, BLOCO 59 ;63.178,80;114.000,00;44.58;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555500556264
 8555502015406 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 202, BL 39 ;69.829,20;126.000,00;44.58;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555502015406
 8555502130124 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 204, BL 95 ;60.407,80;109.000,00;44.58;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555502130124
 8555502182841 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1302, Apto 102, BL13 ;59.853,60;108.000,00;44.58;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555502182841
 8555502511381 ;AM ;MANAUS ;LAGO AZUL ;AVENIDA PROFESSOR PAULO GRACA, N. 1203, Apto 201, BL 12 ;64.287,20;116.000,00;44.58;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555502511381
