
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787700653922 ;AP ;MACAPA ;MARABAIXO ;AVENIDA FLORESTA, N. SN, LOTE 50 QD 07 ;85.800,00;143.000,00;40.00;Casa, 0.00 de área total, 45.14 de área privativa, 174.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700653922
 1787700060559 ;AP ;MACAPA ;TERRA NOVA ;RUA 19, N. SN, QD 23 LT 06 ;160.208,00;248.000,00;35.40;Casa, 0.00 de área total, 64.75 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700060559
 1444401798057 ;AP ;MACAPA ;JARDIM MARCO ZERO ;AVENIDA MARIA GEOVANETE PINHEIRO BORGES DA SILVA, N. 547, LT 48 QD 96 ST 11 ;323.000,00;500.000,00;35.40;Casa, 0.00 de área total, 301.20 de área privativa, 360.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401798057
 1444404323840 ;AP ;MACAPA ;CABRALZINHO ;AVENIDA DOS SABIAS, N. 0, QD BZ LOTE 02 ;306.850,00;475.000,00;35.40;Casa, 0.00 de área total, 161.18 de área privativa, 300.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 2 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404323840
 1444410637397 ;AP ;MACAPA ;INFRAERO ;AVENIDA DOS BACURIS, N. 403, LT 10, QD 23 ;159.239,00;246.500,00;35.40;Casa, 0.00 de área total, 85.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410637397
 8444419209990 ;AP ;MACAPA ;MARABAIXO ;AVENIDA JARDIM, N. SN, LT 256 QD 11 ;131.300,00;202.000,00;35.00;Casa, 0.00 de área total, 61.00 de área privativa, 174.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419209990
 1444409931074 ;AP ;MACAPA ;NOVO BOSQUE ;RUA DOS TUCUMAS, N. SN, LT 26 QD 07 ;124.800,00;192.000,00;35.00;Casa, 0.00 de área total, 69.00 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409931074
 10143287 ;AP ;MACAPA ;JULIAO RAMOS ;AVENIDA GENERAL OSORIO, N. 977, SETOR 05, QUADRA 13, LOTE 40 ;658.131,80;974.000,00;32.43;Casa, 0.00 de área total, 302.00 de área privativa, 0.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, 2 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143287
 1444406025161 ;AP ;MACAPA ;INFRAERO ;AVENIDA DO ACAI, N. SN, LT 284 QD 26 ;224.000,00;320.000,00;30.00;Casa, 0.00 de área total, 136.70 de área privativa, 312.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406025161
 1444406990410 ;AP ;MACAPA ;JULIAO RAMOS ;AVENIDA GENERAL OSORIO, N. 1009, QD 13, LT 02, ST 05 ;324.750,00;433.000,00;25.00;Casa, 0.00 de área total, 122.00 de área privativa, 600.00 de área do terreno,  3 qto(s), WC, WC Emp, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406990410
 1444405744580 ;AP ;MACAPA ;JARDIM EQUATORIAL ;AVENIDA FRANCA, N. SN, LT42 QD06 ;473.000,00;473.000,00;0.00;Casa, 0.00 de área total, 140.09 de área privativa, 275.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405744580
 10168515 ;AP ;SANTANA ;PARAISO ;RUA PRESIDENTE TANCREDO NEVES, N. 762 ;779.401,80;1.074.000,00;27.43;Comercial, 0.00 de área total, 838.90 de área privativa, 600.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10168515
