
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444420942255 ;BA ;ALAGOINHAS ;BARREIRO ;RUA G, N. 181 ;63.250,00;115.000,00;45.00;Casa, 0.00 de área total, 40.05 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420942255
 8444421956098 ;BA ;ALAGOINHAS ;BARREIRO ;RUA VIA DE PENETRACAO II, N. 179, 0 ;60.407,80;109.000,00;44.58;Casa, 0.00 de área total, 40.05 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421956098
 8555539149457 ;BA ;ALAGOINHAS ;MANGALO ;RUA BAIXA DO CORTE, N. SN, CS 140 LT 37 QD H ;66.504,00;120.000,00;44.58;Casa, 0.00 de área total, 39.28 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539149457
 8555537641931 ;BA ;ALAGOINHAS ;CATU ;AVENIDA CONSELHEIRO JUNQUEIRA, N. SN, QD F LT 1 ;97.800,00;163.000,00;40.00;Casa, 0.00 de área total, 50.02 de área privativa, 160.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537641931
 8787704075931 ;BA ;ALAGOINHAS ;CATU ;RUA CONSELHEIRO JUNQUEIRA, N. SN, Apto 202, BL 22 ;86.400,00;144.000,00;40.00;Apartamento, 0.00 de área total, 43.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704075931
 8444423322851 ;BA ;ALAGOINHAS ;MANGALO ;RUA RUA RUBEM AZEVEDO ALVES, N. 94, QD V, LT V13 ;85.310,80;135.500,00;37.04;Casa, 65.82 de área total, 65.82 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423322851
 1444415821854 ;BA ;ALAGOINHAS ;ALAGOINHAS VELHA ;AVENIDA AYRTON SENNA, N. 58 ;135.660,00;210.000,00;35.40;Casa, 0.00 de área total, 68.57 de área privativa, 170.41 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415821854
 8555536086306 ;BA ;ALAGOINHAS ;Catu ;RUA CONSELHEIRO JUNQUEIRA, N. SN, Apto 4, BL 06 ;107.317,19;121.000,00;11.31;Apartamento, 0.00 de área total, 43.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536086306
 1444407642792 ;BA ;ALAGOINHAS ;PRACA KENNEDY ;RUA  CONJUNTO ROMULO ALMEIDA, N. 1, ALAMEDA D QD E ;223.874,32;250.000,00;10.46;Casa, 0.00 de área total, 124.35 de área privativa, 197.06 de área do terreno,  2 qto(s), varanda, WC, 2 sala(s), DCE, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407642792
 8444413444636 ;BA ;ALAGOINHAS ;PRACA KENNEDY ;RUA  MURICIANTIGA RUA G, N. 131, Apto 4, . ;125.000,00;125.000,00;0.00;Apartamento, 0.00 de área total, 56.30 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413444636
 8555535964970 ;BA ;ALAGOINHAS ;CATU ;AVENIDA CONSELHEIRO JUNQUEIRA, N. SN, Apto 1, BL 06 TIPO A ;140.000,00;140.000,00;0.00;Apartamento, 0.00 de área total, 43.52 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535964970
 8555532401029 ;BA ;ALAGOINHAS ;MANGALO ;RUA BAIXA DO CORTE, N. SN, CASA 61 LOTE 03 QD E ;105.238,00;102.000,00;0.00;Casa, 0.00 de área total, 39.28 de área privativa, 135.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555532401029
 8555538751790 ;BA ;ALAGOINHAS ;MANGALO ;RUA BAIXA DO CORTE, N. SN, CS 78 LT 19 QD F ;129.940,78;114.000,00;0.00;Casa, 0.00 de área total, 39.28 de área privativa, 230.68 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538751790
 1444407018398 ;BA ;ALAGOINHAS ;CATU ;TRAVESSA MARIA IMACULADA, N. 137, LT 104 QD F 3 ;228.938,50;172.000,00;0.00;Casa, 0.00 de área total, 68.95 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407018398
 1444407915462 ;BA ;ALAGOINHAS ;ALAGOINHAS VELHA ;AVENIDA AYRTON SENNA, N. 615, Apto 4, BLOCO 1 VAGA DE GARAGEM 04 ;307.766,09;138.000,00;0.00;Apartamento, 0.00 de área total, 43.12 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407915462
 1555518592450 ;BA ;AMARGOSA ;CENTRO ;RUA MANOEL CIRIACO DE OLIVEIRA NETO, N. 295, 295, ANTIGA RUA 08 DE SETEMBRO ;78.577,02;135.000,00;41.80;Casa, 106.98 de área total, 106.98 de área privativa, 350.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555518592450
 1078300206250 ;BA ;BARREIRAS ;MORADA NOBRE ;RUA T, N. SN, LT 05 QD09 ;312.018,00;483.000,00;35.40;Casa, 143.24 de área total, 143.24 de área privativa, 190.50 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1078300206250
 1444406573967 ;BA ;BARREIRAS ;VILA DOS SAS ;RUA RUA BEIJA-FLOR, N. 197, 197, 3218Loteamento Maria Percília ;420.546,00;651.000,00;35.40;Casa, 211.50 de área total, 211.50 de área privativa, 360.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406573967
 1444403035549 ;BA ;BARREIRAS ;VILA RICA ;RUA COSTA RICA, N. SN, QD E LOTE 28 ;420.000,00;420.000,00;0.00;Casa, 0.00 de área total, 156.69 de área privativa, 375.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403035549
 1555528525608 ;BA ;BARREIRAS ;MORADA NOBRE ;RUA T11, N. 150, CSA 140 T LTS 01 02 E 03 QD 18 ;255.000,00;255.000,00;0.00;Casa, 0.00 de área total, 89.20 de área privativa, 81.92 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555528525608
