
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444416386866 ;CE ;ABAIARA ;VERTENTE ;TRAVESSA EUROPA  , A, N. 20A ;76.479,60;138.000,00;44.58;Casa, 0.00 de área total, 61.07 de área privativa, 113.60 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416386866
 8444409804305 ;CE ;ACARAU ;CENTRO ;RUA MANUEL GONCALVES SILVA, N. 40, 0 ;55.420,00;100.000,00;44.58;Casa, 0.00 de área total, 75.30 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409804305
 8555535488656 ;CE ;AQUIRAZ ;DISTRITO DE ITAPERA ;RUA ERNESTO BENTO DE FREITAS, N. 856, CS 13, PAV TERREO ;106.800,00;178.000,00;40.00;Casa, 0.00 de área total, 77.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535488656
 1555512336347 ;CE ;AQUIRAZ ;PORTO DAS DUNAS ;AVENIDA LITORANEA, N. 5297, CS 01 ;627.130,00;850.000,00;26.22;Casa, 0.00 de área total, 189.66 de área privativa, 462.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), DCE, cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512336347
 1444401867407 ;CE ;AQUIRAZ ;PRAINHA ;RUA 4, N. 0, UNID D-18,  ZONA 1, SETOR D ;532.000,00;665.000,00;20.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1204.05 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401867407
 10190921 ;CE ;AQUIRAZ ;PORTO DAS DUNAS II ;VIA COLETORA DE CONTORNO I, N. 00, QD 8, LT 10-11, MARIUBA ;290.000,00;290.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1113.70 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10190921
 1444407574398 ;CE ;AQUIRAZ ;CABACEIRA DA ROCA ;RUA A, N. 150, LT 28 QD 01 ;221.787,10;220.000,00;0.00;Casa, 0.00 de área total, 99.05 de área privativa, 180.00 de área do terreno,  4 qto(s), WC, cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407574398
 1444415761975 ;CE ;AQUIRAZ ;TABAJARA ;RUA MARIA LUIZA BAIMA, N. 285, LT 16 ;190.000,00;180.000,00;0.00;Casa, 0.00 de área total, 84.30 de área privativa, 216.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415761975
 1444417428360 ;CE ;AQUIRAZ ;PRAINHA ;RUA 18, N. 1843, QD F LOTE 3 ;330.109,18;311.000,00;0.00;Casa, 0.00 de área total, 135.55 de área privativa, 186.96 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417428360
 1444418021590 ;CE ;AQUIRAZ ;JOAO DE CASTRO ;RUA CHICO DELFINO, N. 210, . ;486.201,60;340.000,00;0.00;Casa, 0.00 de área total, 367.20 de área privativa, 7680.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418021590
 8444400358574 ;CE ;BREJO SANTO ;SAO FRANCISCO ;AVENIDA ANTONIO FLORENTINO DE ARAUJO LIMA N 760, N. 760 ;80.359,00;145.000,00;44.58;Casa, 0.00 de área total, 94.89 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400358574
 8444406791105 ;CE ;BREJO SANTO ;SOL NASCENTE ;RUA JOANA LEITE DE MOURA, N. 596, PARTE DO LOT 09, QD-QAT ;52.136,40;92.000,00;43.33;Casa, 0.00 de área total, 87.60 de área privativa, 120.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406791105
 8444415873437 ;CE ;CANINDE ;CENTRO ;RUA PROJETADA 03, N. 2598, LT 31 QD 15 ;94.440,00;150.000,00;37.04;Casa, 0.00 de área total, 116.15 de área privativa, 170.37 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415873437
 8444417692049 ;CE ;CANINDE ;JUBAIA ;VIA  LOCAL 07, N. 8, QD 02 LT 33 ;180.000,00;180.000,00;0.00;Casa, 0.00 de área total, 105.25 de área privativa, 150.08 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417692049
 8444417825154 ;CE ;CANINDE ;SAO FRANCISCO ;RUA MARIA CARDOSO MENEZES, N. 1621, LT 07A QD 12 ;145.000,00;145.000,00;0.00;Casa, 0.00 de área total, 95.25 de área privativa, 126.25 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417825154
 8444411668855 ;CE ;CANINDE ;CENTRO ;RUA JOSIAS GONDIM, N. 984, . ;145.000,00;145.000,00;0.00;Casa, 0.00 de área total, 92.60 de área privativa, 126.30 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411668855
 8444413739814 ;CE ;CANINDE ;PALESTINA ;RUA PROJETADA 06, N. 200, LT 19 A QD 3 ;121.749,05;114.000,00;0.00;Casa, 0.00 de área total, 82.80 de área privativa, 137.04 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413739814
 10151156 ;CE ;CARNAUBAL ;SÃO LUIS ;AVENIDA FRANCISCO RODRIGUES MARTINS, N. 1025 ;231.970,80;386.618,00;40.00;Casa, 0.00 de área total, 216.00 de área privativa, 2812.50 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10151156
 8444404016392 ;CE ;CAUCAIA ;PARQUE ALBANO (JUREMA) ;RUA PARANA, N. SN, Apto 404, QD 57 - BL 07 ;41.935,80;92.000,00;54.42;Apartamento, 0.00 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404016392
 8555511083745 ;CE ;CAUCAIA ;CIGANA ;RUA A, N. 119, 213 ;53.317,42;110.300,00;51.67;Casa, 180.00 de área total, 57.60 de área privativa, 170.24 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555511083745
 8555523296595 ;CE ;CAUCAIA ;GRILO ;RUA ANTONIO MOREIRA DA ROCHA, N. 855, Apto 102, BL B ;69.300,00;126.000,00;45.00;Apartamento, 50.84 de área total, 45.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555523296595
 8444419321889 ;CE ;CAUCAIA ;ARATURI (JUREMA) ;RUA 20, N. 755, Apto 204 ;71.214,69;128.500,00;44.59;Apartamento, 0.00 de área total, 46.93 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419321889
