
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10143174 ;DF ;BRASILIA ;ASA SUL ;SGAS 902, N. 222, BLOCO B, LOTE 74, SALA 222, ENTRADA B ;155.237,00;265.000,00;41.42;Sala, 0.00 de área total, 45.97 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143174
 10143177 ;DF ;BRASILIA ;ASA SUL ;SGAS 902, N. S/N, SALA 225, BLOCO B, CONJUNTO B ;155.237,00;265.000,00;41.42;Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143177
 10143175 ;DF ;BRASILIA ;ASA SUL ;SGAS 902 ENTRADA B, N. S/N, SALA 223, ENTRADA B, LOTE 74 ;174.893,70;295.000,00;40.72;Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143175
 1444401079778 ;DF ;BRASILIA ;SETOR HABITACIONAL T ;VIA CONJUNTO I, N. 16,  QR404 ;162.600,00;271.000,00;40.00;Terreno, 0.00 de área total, 0.00 de área privativa, 512.29 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401079778
 8787700428805 ;DF ;BRASILIA ;RIACHO FUNDO II ;QUADRA QN 23, N. SN, Apto 302, BL 08 CONJUNTO 02 ;123.000,00;205.000,00;40.00;Apartamento, 0.00 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700428805
 8787700138874 ;DF ;BRASILIA ;RIACHO FUNDO II ;QUADRA QN 22, Apto 301, BLOCO 10 LOTES 1 A 5 CONJUNTO 03 ;292.239,73;464.167,30;37.05;Apartamento, 97.71 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700138874
 1555520961212 ;DF ;BRASILIA ;SETOR INDUSTRIAL (TAGUATINGA) ;QUADRA QI 24, N. LT 113, Apto 205, TORRE B ;221.901,00;343.500,00;35.40;Apartamento, 0.00 de área total, 51.55 de área privativa, 0.00 de área do terreno, 1 sala(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520961212
 8555535770939 ;DF ;BRASILIA ;SETOR INDUSTRIAL (TAGUATINGA) ;QUADRA QI, N. 0, Apto 1612, TORRE A  QUADRA QI 24 ;149.500,00;230.000,00;35.00;Apartamento, 0.00 de área total, 44.97 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535770939
 10143176 ;DF ;BRASILIA ;ASA SUL ;SGAS 902, N. S/N, CONJUNTO B, LOTE 74, SALA 224 ;199.331,50;295.000,00;32.43;Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143176
 1444403379426 ;DF ;BRASILIA ;TAGUATINGA CENTRO (TAGUATINGA) ;QUADRA C10, N. SN, Apto 204, LT 02 E 03 ;192.109,99;278.000,00;30.90;Apartamento, 0.00 de área total, 62.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403379426
 8787710412685 ;DF ;BRASILIA ;SETOR TOTAL VILLE  C ;RUA 100, N. SN, Apto 303, BL 17 LT 102 ;94.639,85;135.000,00;29.90;Apartamento, 0.00 de área total, 44.96 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710412685
 1444417724333 ;DF ;BRASILIA ;CEILANDIA SUL (CEILANDIA) ;QNM 29    AREA ESPECIAL J, N. SN, Apto 408, TR 01 ;235.215,57;262.000,00;10.23;Apartamento, 0.00 de área total, 42.11 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417724333
 8555530134651 ;DF ;BRASILIA ;AVENIDA MANGUEIRAL ;RUA D, N. SN, CASA D32 QD QC13 ;540.000,00;540.000,00;0.00;Casa, 0.00 de área total, 67.99 de área privativa, 131.46 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555530134651
 10187463 ;DF ;BRASILIA ;ASA NORTE ;SHN QUADRA 2, N. 00, BL H, LT F, SL 48, 3º PAV. ;620.000,00;620.000,00;0.00;Loja, 0.00 de área total, 65.73 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10187463
 10190605 ;DF ;BRASILIA ;ASA NORTE ;SHN QD 05 BL G, N. 00, Apto 406 ;385.000,00;385.000,00;0.00;Apartamento, 0.00 de área total, 36.38 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10190605
 1444405749921 ;DF ;BRASILIA ;SETOR LESTE (GAMA) ;QUADRA QUATRO, N. SN, Apto 201, LOTE 8 E 10 QUADRA 4 ;300.000,00;300.000,00;0.00;Apartamento, 0.00 de área total, 90.17 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405749921
 1555532863377 ;DF ;BRASILIA ;SETOR INDUSTRIAL (TAGUATINGA) ;QUADRA QI 24, N. SN, Apto 109, TORRE E ;280.000,00;280.000,00;0.00;Apartamento, 0.00 de área total, 49.76 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532863377
 8555508309533 ;DF ;BRASILIA ;CEILANDIA NORTE (CEILANDIA) ;QUADRA QNN 23, N. SN, Apto 304, 43 CJ O ;135.000,00;135.000,00;0.00;Apartamento, 0.00 de área total, 23.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555508309533
 10006665 ;DF ;BRASILIA ;ZONA INDUSTRIAL (GUARA) ;T STRC TRECHO 4, N. S/N, BLOCO A , LOTE 7 E 9 ;1.143.000,00;1.143.000,00;0.00;Comercial, 0.00 de área total, 440.00 de área privativa, 130.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006665
 1444405167094 ;DF ;BRASILIA ;SAMAMBAIA NORTE (SAMAMBAIA) ;QUADRA QR 402, N. 2, Apto 211, CJ 22A - RES BURITIS ;242.000,00;242.000,00;0.00;Apartamento, 0.00 de área total, 57.26 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405167094
 8444409675874 ;DF ;BRASILIA ;SAMAMBAIA NORTE (SAMAMBAIA) ;QUADRA QN 614, N. SN, Apto 106, LT 1 A 7 CJ C ;150.000,00;150.000,00;0.00;Apartamento, 0.00 de área total, 28.25 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409675874
