
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444407165676 ;ES ;ARACRUZ ;GUAXINDIBA ;QUADRA 29, N. SN, LOTE 08 ;160.000,54;145.000,00;0.00;Casa, 0.00 de área total, 96.00 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407165676
 8444403788170 ;ES ;BAIXO GUANDU ;CENTRO ;RUA ANTONIO SAMPAIO, N. 343, A ;150.000,00;115.000,00;0.00;Casa, 0.00 de área total, 61.57 de área privativa, 153.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403788170
 8555535294312 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO FRANCISCO DE ASSIS ;RUA OZIL PASSONI N 104 407 01, N. 104, Apto 407, BL 01 ;84.000,00;140.000,00;40.00;Apartamento, 0.00 de área total, 49.49 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535294312
 8787702547640 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO LUCAS ;AVENIDA LEOPOLDINA SMARZARO, N. 322, Apto 308, BL 06, VAGA 230 ;79.800,00;133.000,00;40.00;Apartamento, 0.00 de área total, 45.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702547640
 8555533439186 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO FRANCISCO DE ASSIS ;RUA JOAO PESSINI, N. 218, Apto 402, BLOCO 02 ;152.460,00;152.460,00;0.00;Apartamento, 0.00 de área total, 49.49 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555533439186
 8787710961549 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO LUCAS ;AVENIDA LEOPOLDINA SMARZARO, N. 322, Apto 205, BL 11 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 45.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710961549
 8787710982465 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO LUCAS ;AVENIDA LEOPOLDINA SMARZARO, N. 322, Apto 403, BLOCO 10 ;152.000,00;152.000,00;0.00;Apartamento, 0.00 de área total, 45.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710982465
 8787713372102 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO LUCAS ;AVENIDA LEOPOLDINA SMARZARO, N. 322, Apto 307, BL 14 2 PV VG 472 ;152.000,00;152.000,00;0.00;Apartamento, 0.00 de área total, 45.30 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713372102
 8444411342470 ;ES ;CARIACICA ;CACAROCA ;RUA GUAIAPOS, N. SN, QD 02, LT 10 ;84.366,40;134.000,00;37.04;Casa, 53.25 de área total, 53.25 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411342470
 8787713622761 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 402, BL 07 GARAGEM 141 ;120.858,85;180.000,00;32.86;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713622761
 8787709506027 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 301, BL 06 ;183.000,00;183.000,00;0.00;Apartamento, 0.00 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709506027
 8444413689191 ;ES ;CARIACICA ;SAO BENEDITO ;R C, N. 141, CS 02 ;161.000,00;161.000,00;0.00;Casa, 0.00 de área total, 59.10 de área privativa, 204.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413689191
 8555530830488 ;ES ;CARIACICA ;RIO BRANCO ;RUA SANTA CATARINA, N. 37, Apto 1702, 17 PAV TORRE 04 ;237.500,00;237.500,00;0.00;Apartamento, 0.00 de área total, 53.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555530830488
 8444415646015 ;ES ;CARIACICA ;VISTA DOURADA ;RUA DAS ORQUIDEAS, N. 224B, . ;165.000,00;165.000,00;0.00;Casa, 0.00 de área total, 52.76 de área privativa, 292.74 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415646015
 8787710546851 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 102, BLOCO 12 ;195.000,00;195.000,00;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710546851
 8787712256990 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 301, BL 15 VG 65 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712256990
 8787713110698 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 304, BL 07 ;181.000,00;181.000,00;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713110698
 8787713634336 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 101, BLOCO 07 ;165.000,00;165.000,00;0.00;Apartamento, 0.00 de área total, 50.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713634336
 8787705278739 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 503, BL 13 ;210.000,00;158.000,00;0.00;Apartamento, 0.00 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705278739
 1555536971522 ;ES ;COLATINA ;SAO SILVANO ;RUA NOSSA SENHORA APARECIDA, N. 371, Apto 201, 0 ;155.512,00;280.000,00;44.46;Apartamento, 0.00 de área total, 88.87 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555536971522
