
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444407284071 ;GO ;ABADIANIA ;Lindo Horizonte ;AVENIDA GETULIO VARGAS, QD 07 LT 02 ;180.880,00;288.485,57;37.31;Casa, 0.00 de área total, 151.65 de área privativa, 450.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407284071
 10139108 ;GO ;ADELANDIA ;ADELANDIA ;RUA BENEDITO RUMÃO, N. S/N, QD 01, LT 11 - BAIRRO SETOR INDUSTRIAL ;111.302,00;190.000,00;41.42;Prédio, 0.00 de área total, 131.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10139108
 8444413981631 ;GO ;AGUA LIMPA ;SETOR CENTRAL ;RUA ANTONIO ALVES AMORIM, N. 98, LT 05A07 QD 12 ;73.671,00;130.000,00;43.33;Casa, 69.92 de área total, 69.92 de área privativa, 225.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413981631
 8444401416861 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA I ;QUADRA 18, N. SN, LT 8A-2, RUA 20 ;43.049,91;103.910,00;58.58;Casa, 50.66 de área total, 50.66 de área privativa, 205.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401416861
 8444417093030 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, Apto 202, LT 5 QD 72 RUA 18 ;59.244,90;143.000,00;58.57;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417093030
 8787703011166 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 18, Apto 202, QD 72, LT 08 ;48.887,40;118.000,00;58.57;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703011166
 8787706228026 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. S/N, Apto 202, QD 72 LT 06 RUA 18 ;51.787,50;125.000,00;58.57;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706228026
 8444411877187 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA PAU BRASIL, N. SN, Apto 202, QD 04 LT 12-D BL B ;53.859,00;130.000,00;58.57;Apartamento, 0.00 de área total, 52.97 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411877187
 8444422588122 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QD 4, N. S/N, Apto 101, LT 16B ;49.508,80;116.000,00;57.32;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422588122
 8444422653323 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 302, Lote 16-B ;61.886,00;145.000,00;57.32;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422653323
 8444408781280 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES IMPERATRIZ ;RUA 13A, N. 0, CASA  D  LOTE 12  QUADRA 2 ;62.901,70;140.000,00;55.08;Casa, 0.00 de área total, 64.71 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408781280
 8787706340047 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 202, LOTE 03, RUA 18 ;63.900,00;142.000,00;55.00;Apartamento, 74.22 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706340047
 8444419604708 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS ;RUA DOIS, Apto 103, LT 03C QD 6 ;83.700,00;186.000,00;55.00;Apartamento, 0.00 de área total, 58.17 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419604708
 8444400101441 ;GO ;AGUAS LINDAS DE GOIAS ;RESIDENCIAL PORTAL DA BARRAGEM ;QUADRA 13, N. SN, LT 02, RUA 19 ;68.251,59;150.000,00;54.50;Casa, 69.94 de área total, 69.94 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400101441
 8444424927838 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, Apto 103, LT 16-B ;48.442,00;106.000,00;54.30;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424927838
 8444413840620 ;GO ;AGUAS LINDAS DE GOIAS ;RES OURO VILLE ;QUADRA 07 LT 18 RUA M4, N. SN ;51.003,00;109.000,00;53.21;Casa, 0.00 de área total, 55.22 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413840620
 8444424726174 ;GO ;AGUAS LINDAS DE GOIAS ;ROYAL PARQUE ;QUADRA 12C, N. SN, CS 02 LT 02B RUA 14 ;79.720,80;165.000,00;51.69;Casa, 0.00 de área total, 68.10 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424726174
 8444425766536 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QD 85 CONJUNTO A RUA 38, N. S/N, Apto 201, QD 85, BL N, ST 11, CJ A ;77.637,90;160.000,00;51.48;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425766536
 8444416472231 ;GO ;AGUAS LINDAS DE GOIAS ;RESIDENCIAL SOL NASCENTE I ;AVENIDA ADELIA, N. SN, Apto 04, QD 03, LT 16 ;54.403,20;110.000,00;50.55;Apartamento, 0.00 de área total, 31.35 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416472231
