
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555527888693 ;MA ;ACAILANDIA ;CENTRO ;RUA SETE DE SETEMBRO, N. 795, QD 34, LT 30 ;195.000,00;390.000,00;50.00;Casa, 0.00 de área total, 195.53 de área privativa, 259.20 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555527888693
 8444408591421 ;MA ;ACAILANDIA ;JD GLORIA CITY ;TRAVESSA VICENTE RIBEIRO, N. SN, QD 48 LT 17 ;59.853,60;108.000,00;44.58;Casa, 0.00 de área total, 58.99 de área privativa, 183.60 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408591421
 8444417210915 ;MA ;ACAILANDIA ;NOVA AÇAILANDIA ;RUA YEDA BOM JARDIM, N. 0, LOTE 27  QUADRA 74 ;90.109,95;143.122,55;37.05;Casa, 0.00 de área total, 62.28 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417210915
 1444405636175 ;MA ;ACAILANDIA ;VILA ILDEMAR ;RUA PROJETADA I, N. SN, LT 005B, QD 005, AR B, 3KM MD BR 222 ;343.727,27;532.085,56;35.41;Terreno, 0.00 de área total, 0.00 de área privativa, 2238.28 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405636175
 1444405630940 ;MA ;ACAILANDIA ;AREA C ;RUA PROJETADA, N. SN, 03 KM DA M.D. DA BR 222 ALTURA KM 07 ;315.894,00;489.000,00;35.40;Terreno, 0.00 de área total, 0.00 de área privativa, 2238.28 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405630940
 1444406180965 ;MA ;ACAILANDIA ;RESIDENCIAL TROPICAL ;RUA VENEZUELA NUMERO 38 QUARA 28, N. 38 ;83.980,00;130.000,00;35.40;Casa, 0.00 de área total, 75.39 de área privativa, 135.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406180965
 1444406509207 ;MA ;ACAILANDIA ;MACROZONA URBANA IX ;RUA MACARANDUBA, N. 0, QD UNICA LT 19 ;90.440,00;140.000,00;35.40;Casa, 0.00 de área total, 69.89 de área privativa, 257.38 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406509207
 1444408437394 ;MA ;ACAILANDIA ;CENTRO ;AVENIDA ADELINO ANDRADE N SN LOTE 15 QUADRA 27 RES, N. SN, LT 15 QD 27 ;98.192,00;152.000,00;35.40;Casa, 0.00 de área total, 79.96 de área privativa, 199.20 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408437394
 1444409319557 ;MA ;ACAILANDIA ;CENTRO ;RUA  IPE, N. 0, LT 5F, QD 04 ;83.980,00;130.000,00;35.40;Casa, 0.00 de área total, 64.91 de área privativa, 187.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409319557
 1444406245080 ;MA ;ACAILANDIA ;CENTRO ;AVENIDA AÇAILÂNDIA, N. S/N, 0, 101A-1 ;341.232,49;462.500,00;26.23;Terreno, 0.00 de área total, 0.00 de área privativa, 1804.65 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406245080
 1444405622751 ;MA ;ACAILANDIA ;CENTRO ;RUA BARRA DO CORDA, N. 1, Q 15 LT 01 A ;686.154,00;930.000,00;26.22;Terreno, 0.00 de área total, 0.00 de área privativa, 3879.92 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405622751
 1444406246184 ;MA ;ACAILANDIA ;CENTRO ;AVENIDA ACAILANDIA, N. SN, QUADRA 10 LOTE 1A2 ;332.747,80;451.000,00;26.22;Terreno, 0.00 de área total, 0.00 de área privativa, 1884.87 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406246184
 8444420277944 ;MA ;ACAILANDIA ;CENTRO ;RUA PROJETADA R2, N. SN, LOTE 09 QD 10 ;139.389,60;135.000,00;0.00;Casa, 0.00 de área total, 56.73 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420277944
 1444402315033 ;MA ;ACAILANDIA ;CENTRO ;RUA 03, N. SN, LT 07 QD 05 ;164.077,45;156.500,00;0.00;Casa, 0.00 de área total, 64.80 de área privativa, 301.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402315033
 1444405744920 ;MA ;ACAILANDIA ;CENTRO ;RUA VENEZUELA, N. 39, LT 29 QD 28 ;167.057,45;144.000,00;0.00;Casa, 0.00 de área total, 135.00 de área privativa, 135.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405744920
 1444405432472 ;MA ;AXIXA ;CENTRO ;RUA  SAO PEDRO, N. 12 B, RUY VAZ ;63.250,00;115.000,00;45.00;Casa, 0.00 de área total, 84.81 de área privativa, 450.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405432472
 1555514429601 ;MA ;AXIXA ;CENTRO ;RUA DR JOSE RIBAMAR MELO DE ALMEIDA, N. 128, 0 ;77.400,00;129.000,00;40.00;Casa, 0.00 de área total, 157.99 de área privativa, 480.00 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555514429601
 1555539118227 ;MA ;BACABAL ;PQ MANOEL LACERDA ;RUA CORONEL MALAQUIAS ALMEIDA, N. 15, QD 16 ;68.500,00;137.000,00;50.00;Casa, 97.30 de área total, 55.65 de área privativa, 175.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555539118227
 1444406022693 ;MA ;BACABAL ;CENTRO ;AVENIDA MARCONES CALDAS, N. 0, QD 03, LT 05, 06 E PARTE DO 08 ;524.000,00;655.000,00;20.00;Casa, 0.00 de área total, 300.00 de área privativa, 775.55 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406022693
 1444410271619 ;MA ;BALSAS ;POTOSI ;RUA FRANCISCO M. SANTOS, N. 553B, ANT. QD.188, LT.19 ;144.703,99;224.000,00;35.41;Casa, 0.00 de área total, 112.60 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410271619
 10011756 ;MA ;BARRA DO CORDA ;TREZIDELA ;RUA FREI JESUALDO, N. S/N, QD 12 LT 36 ;26.667,00;48.000,00;44.45;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10011756
 1555512494201 ;MA ;BOM JARDIM ;VILA PEDROSA ;RUA SANTA LUZIA N 11, N. 11 ;49.249,02;88.000,00;44.04;Casa, 0.00 de área total, 70.00 de área privativa, 163.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512494201
