
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10177898 ;MG ;ABADIA DOS DOURADOS ;CENTRO ;RUA BÉLGICA, N. 00, QD 08, LT 04 - LOT GARDEN VILLE ;68.447,17;120.000,00;42.97;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177898
 1444419073330 ;MG ;ABADIA DOS DOURADOS ;CENTRO ;RUA DO VALE, N. 161, LT 03B QD 01 ;320.000,00;320.000,00;0.00;Casa, 0.00 de área total, 201.52 de área privativa, 403.00 de área do terreno,  4 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419073330
 8444406376329 ;MG ;ABAETE ;JARDIM PRIMAVERA ;RUA PROFESSORA ARLINDA ANDRADE, N. 645, . ;135.000,00;135.000,00;0.00;Casa, 0.00 de área total, 61.23 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406376329
 1444402742373 ;MG ;ABAETE ;BERNARDO SOARES DE F ;RUA JACIRA GOMES LATALIZA, N. 360, LT 142 QD 05 ;131.538,31;130.000,00;0.00;Casa, 0.00 de área total, 137.70 de área privativa, 240.00 de área do terreno,  3 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402742373
 8555502295727 ;MG ;AGUANIL ;CENTRO ;RUA EVARISTO ALVES, N. 730, . ;85.000,00;85.000,00;0.00;Casa, 0.00 de área total, 47.10 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555502295727
 8444403570957 ;MG ;AIMORES ;BETEL ;RUA CANAA, N. 189, LT 53 QD L ;70.270,80;124.000,00;43.33;Casa, 63.96 de área total, 63.96 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403570957
 8444404033564 ;MG ;AIMORES ;BARRA DO MANHUAÇU ;RUA H, N. 161, LT 04 QD 05 ;78.886,58;72.000,00;0.00;Casa, 0.00 de área total, 56.00 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404033564
 1555530666140 ;MG ;ALEM PARAIBA ;PORTO NOVO ;RUA MANOEL VICENTE FERREIRA, N. 1, Apto 1A, . ;727.710,47;610.000,00;0.00;Apartamento, 0.00 de área total, 292.20 de área privativa, 0.00 de área do terreno, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555530666140
 10147704 ;MG ;ALFENAS ;RESIDENCIAL TEIXEIRA ;RUA GUAICURU ( ANTIGA RUA 06 ), N. S/N, QUADRA D, LOTE 107 ;96.518,11;141.000,00;31.55;Terreno, 0.00 de área total, 0.00 de área privativa, 264.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10147704
 1444403748979 ;MG ;ALFENAS ;JARDIM AEROPORTO ;RUA PREFEITO ARISTIDES DE SOUZA (ANTIGA RUA 20), N. 211, LT 22  QD G ;412.000,00;515.000,00;20.00;Casa, 0.00 de área total, 198.60 de área privativa, 336.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403748979
 1444403078868 ;MG ;ALMENARA ;PEDRO GOMES ;RUA HENRIQUE HEITMAN, N. 408, TÉRREO ;111.758,00;173.000,00;35.40;Casa, 104.67 de área total, 104.67 de área privativa, 108.29 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403078868
 1444404019296 ;MG ;ALMENARA ;PEDRO GOMES ;RUA HENRIQUE HEITMAN, N. 408, 1º PAVIMENTO ;103.360,00;160.000,00;35.40;Casa, 0.00 de área total, 108.45 de área privativa, 221.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404019296
 8444423652258 ;MG ;ANDRADAS ;VILA SANTA RITA ;RUA PASCOAL AMERICO VICENTIN, N. 45, Apto 402, 4 ANDAR  BLOCO 4 ;75.000,00;125.000,00;40.00;Apartamento, 0.00 de área total, 62.95 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423652258
 1444415510778 ;MG ;ANDRADAS ;JARDIM MUTERLE ;RUA FELDSPATO, N. SN, LT 12A QD I ;256.000,00;256.000,00;0.00;Casa, 0.00 de área total, 127.01 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415510778
 1555510569832 ;MG ;ANDRADAS ;JOAO TEIXEIRA FILHO ;RUA JOSE VENTURELLI, N. 250, . ;440.000,00;440.000,00;0.00;Casa, 0.00 de área total, 143.29 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555510569832
 8555513534469 ;MG ;ANDRADAS ;JARDIM RIO NEGRO ;RUA HELITON MARCIO MAGALHAES, N. 210, . ;115.000,00;115.000,00;0.00;Casa, 0.00 de área total, 69.25 de área privativa, 163.03 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513534469
 8787701248045 ;MG ;ARAGUARI ;SAO SEBASTIAO ;RUA EDSON CORREA DE MELO ANTIGA RUA D, N. 690, LT 09 QD 08 ;99.000,00;165.000,00;40.00;Casa, 0.00 de área total, 49.79 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701248045
 8444423391071 ;MG ;ARAGUARI ;PARQUE DOS VERDES ;RUA SETE, N. 310, LT A03 QD 28 ;99.000,00;165.000,00;40.00;Casa, 0.00 de área total, 67.90 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423391071
 8444409978095 ;MG ;ARAUJOS ;DOM CABRAL ;RUA UBERLANDIA, N. 1063A, LT A2A, QD 53, CS 01 ;59.299,40;107.000,00;44.58;Casa, 0.00 de área total, 52.30 de área privativa, 220.38 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409978095
 8444412656494 ;MG ;ARAUJOS ;BAIRRO ANTONIA DE LO ;RUA  ESPIRITO SANTO, N. 794, Apto 202, BLOCO A ;89.357,13;94.000,00;4.94;Apartamento, 0.00 de área total, 51.89 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412656494
 8444426314671 ;MG ;ARAUJOS ;ANTONIA DE LOURDES ;RUA DAS NACOES ESQUINA COM RUA ESPIRITO SANTO, N. 794, Apto 102, BLOCO A LOTE 15 QUADRA 94 ;99.836,31;95.000,00;0.00;Apartamento, 0.00 de área total, 51.89 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426314671
