
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444412448310 ;MS ;ANASTACIO ;ALTOS DA CIDADE ;RUA BRAZ MANDARANO, N. 385, LT 28 QD B QD 269 ST 1 ;87.012,20;82.000,00;0.00;Casa, 0.00 de área total, 68.69 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412448310
 1444411047569 ;MS ;ANASTACIO ;JARDIM CAMPANARIO ;RUA CORONEL PONCE, N. 2644, LT 04 QD 03 ;147.374,22;101.000,00;0.00;Casa, 0.00 de área total, 145.34 de área privativa, 312.50 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411047569
 8444422484009 ;MS ;APARECIDA DO TABOADO ;JARDIM FELIX ;ALAMEDA GIRASSOL, N. 1621, LOTE 08A QD 38 ;51.263,50;92.500,00;44.58;Casa, 40.34 de área total, 40.34 de área privativa, 127.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422484009
 8444415692327 ;MS ;APARECIDA DO TABOADO ;JARDIM SAMARA ;RUA LEOZORIO RODRIGUES DE ALMEIDA, N. 3738, LT 12C, QD 08 ;71.287,73;125.794,48;43.34;Casa, 0.00 de área total, 56.80 de área privativa, 125.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415692327
 8444413043321 ;MS ;APARECIDA DO TABOADO ;JARDIM SAMARA ;RUA VERGILIO ANTONIO DE QUEIROZ, N. 3542, LT 07C QD 11 ;59.503,50;105.000,00;43.33;Casa, 57.20 de área total, 57.20 de área privativa, 130.00 de área do terreno,  2 qto(s), WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413043321
 8444417194090 ;MS ;APARECIDA DO TABOADO ;JARDIM FELIX II ;RUA TABATINGA, N. 0, LOTE 16  QUADRA 13 ;70.270,80;124.000,00;43.33;Casa, 0.00 de área total, 56.02 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417194090
 8444416759280 ;MS ;APARECIDA DO TABOADO ;JARDIM DO LAGO ;RUA DAS PAINEIRAS, N. 4956, LT 01B  QD C ;81.000,00;135.000,00;40.00;Casa, 0.00 de área total, 61.84 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416759280
 1444406476457 ;MS ;APARECIDA DO TABOADO ;VILA VILAS BOAS ;RUA JOSE MOREIRA FALKINE, N. 5199, LT 05 QD B ;150.518,00;233.000,00;35.40;Casa, 164.68 de área total, 164.68 de área privativa, 1789.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406476457
 1444417767393 ;MS ;APARECIDA DO TABOADO ;CENTRO ;AVENIDA DAS GARCAS, N. 1365, LOTE 1G QUADRA D ;1.030.597,41;695.000,00;0.00;Casa, 0.00 de área total, 120.37 de área privativa, 1210.14 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417767393
 8444403886695 ;MS ;BATAGUASSU ;Jardim Campo Grande ;RUA AMBROSIO LEMES, N. 230, LOTE 10 QUADRA 12 ;94.000,00;94.000,00;0.00;Casa, 0.00 de área total, 45.00 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403886695
 8444423144759 ;MS ;BELA VISTA ;CENTRO ;RUA DR GERALDO DE SOUSA ROSA, N. 995, QD 409  LT 13 ;91.000,00;91.000,00;0.00;Casa, 0.00 de área total, 40.00 de área privativa, 148.56 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423144759
 8444416434003 ;MS ;CAARAPO ;CENTRO ;AVENIDA FERNANDO CORREIA DA COST, N. 3090, LOTE 13  QUADRA 96 ;102.006,00;180.000,00;43.33;Casa, 0.00 de área total, 56.86 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416434003
 8444423290240 ;MS ;CAARAPO ;CENTRO ;RUA DOS RESEDAS, N. 2125, LT 09 QD 40 QUINHAO 04 ;96.000,00;160.000,00;40.00;Terreno, 0.00 de área total, 0.00 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423290240
 8444422123880 ;MS ;CAARAPO ;CENTRO ;RUA DOS INGAS, N. 2131, LT 09 QD 34 ;94.247,99;89.000,00;0.00;Casa, 0.00 de área total, 40.07 de área privativa, 133.80 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422123880
 8444403887322 ;MS ;CAMAPUA ;VILA BELO HORIZONTE ;RUA GUATEMALA, N. 72, LT 6A QD 02 ;49.519,96;92.000,00;46.18;Casa, 0.00 de área total, 68.06 de área privativa, 720.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403887322
 8444415022968 ;MS ;CAMAPUA ;CENTRO ;RUA LOAO MACHADO, N. 946, LT 02, QD 04 ;200.583,00;310.500,00;35.40;Casa, 0.00 de área total, 221.38 de área privativa, 312.50 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415022968
 1444415738698 ;MS ;CAMAPUA ;CAMAPUA ;RUA JOAQUIM ROSA, N. 248, LT 04 QD 02 ;244.000,00;244.000,00;0.00;Casa, 0.00 de área total, 115.08 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415738698
 8555536675646 ;MS ;CAMPO GRANDE ;NOVA LIMA ;RUA MANCHE CATAN DAVID, N. 442, CASA 02 ;62.070,40;112.000,00;44.58;Casa, 0.00 de área total, 48.45 de área privativa, 97.37 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536675646
 8444414171846 ;MS ;CAMPO GRANDE ;LOS ANGELES ;RUA FRANCISCO CHAVES, N. 286, CASA 01 ;57.027,18;102.900,00;44.58;Casa, 0.00 de área total, 51.17 de área privativa, 113.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414171846
 8444405772395 ;MS ;CAMPO GRANDE ;JARDIM COLUMBIA ;RUA MAPUERA, N. 1898 ;83.684,20;151.000,00;44.58;Casa, 0.00 de área total, 65.76 de área privativa, 107.52 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405772395
 8444422272834 ;MS ;CAMPO GRANDE ;JARDIM COLUMBIA ;RUA URARIOCARA, N. 1599, LT 24 QD 99 ;95.322,40;172.000,00;44.58;Casa, 0.00 de área total, 46.92 de área privativa, 396.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422272834
