
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444414117892 ;MT ;ACORIZAL ;SALGADO ;RUA DAS CATILEIAS, N. 06 ;88.672,00;160.000,00;44.58;Casa, 0.00 de área total, 82.13 de área privativa, 275.33 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414117892
 8444414213700 ;MT ;ACORIZAL ;SALGADO ;AV SAMAMBAIA, N. 04, ESQUINA COM A RUA CATILEIAS ;89.780,40;162.000,00;44.58;Casa, 81.68 de área total, 81.68 de área privativa, 199.14 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414213700
 8444417426560 ;MT ;ACORIZAL ;LT 11 ;RUA SEIS, N. 11 ;74.262,80;134.000,00;44.58;Casa, 69.02 de área total, 69.02 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417426560
 8444418793213 ;MT ;ACORIZAL ;NOVA ACORIZAL ;RUA 06, N. SN, LOTE 16 ;85.901,00;155.000,00;44.58;Casa, 68.86 de área total, 68.86 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418793213
 8444419700715 ;MT ;ACORIZAL ;SALGADO ;RUA DAS ORQUIDEAS, N. 8, LT 8 ;77.588,00;140.000,00;44.58;Casa, 61.12 de área total, 61.12 de área privativa, 237.70 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419700715
 8444419849190 ;MT ;ACORIZAL ;SALGADO ;AVENIDA SAMAMBAIA, N. 01, LT 01 ;91.443,00;165.000,00;44.58;Casa, 0.00 de área total, 72.70 de área privativa, 240.94 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419849190
 8444423234006 ;MT ;ACORIZAL ;NOVA ACORIZAL ;RUA DAS PALMEIRAS, N. s/n, LT 05B QD 23 ;78.091,26;137.800,00;43.33;Casa, 0.00 de área total, 60.00 de área privativa, 234.71 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423234006
 8444423470389 ;MT ;ACORIZAL ;NOVA ACORIZAL ;RUA RUA DAS PALMEIRAS, N. SN, QD 39 ;89.538,60;158.000,00;43.33;Casa, 0.00 de área total, 61.20 de área privativa, 204.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423470389
 8444425163068 ;MT ;ACORIZAL ;Cidade Alta ;RUA LAURINDO MACHADO, N. S/N, LT 01 QD 6A ;93.116,40;156.000,00;40.31;Casa, 69.00 de área total, 69.00 de área privativa, 207.44 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425163068
 8444422392031 ;MT ;ACORIZAL ;BAIRRO DA PAZ ;RUA RUA SÃO VICENTE DE PAULA, N. 125, QD. 04,LT. 0125 ;103.884,00;165.000,00;37.04;Casa, 75.04 de área total, 75.04 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422392031
 8444417610158 ;MT ;ACORIZAL ;JARDIM DAS ACÁCIAS ;R HELICONIA, N. SN, CS ;143.000,00;143.000,00;0.00;Casa, 0.00 de área total, 70.51 de área privativa, 392.90 de área do terreno,  1 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417610158
 8444427092028 ;MT ;ACORIZAL ;SALGADO ;RUA DAS ROSEIRAS, N. SN, LT 003 ;166.000,00;166.000,00;0.00;Casa, 0.00 de área total, 69.40 de área privativa, 272.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427092028
 8444416595368 ;MT ;ACORIZAL ;SALGADO ;AVENIDA SAMAMBAIA, N. 19, . ;140.043,29;140.000,00;0.00;Casa, 0.00 de área total, 76.13 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416595368
 8787706596297 ;MT ;AGUA BOA ;RES DECIO EDUARDO ME ;RUA BC -28, N. SN, LT 09 QD 17 ;130.000,00;130.000,00;0.00;Casa, 0.00 de área total, 53.00 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706596297
 8787708091001 ;MT ;AGUA BOA ;BAIRRO UNIVERSITARIO ;RUA BC24, N. 301, LT 27 QD 16 ;130.000,00;130.000,00;0.00;Casa, 0.00 de área total, 45.69 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708091001
 8787708829477 ;MT ;AGUA BOA ;UNIVERSITARIO ;RUA BC22, N. 550, LT 22 QD 03 ;180.000,00;180.000,00;0.00;Casa, 0.00 de área total, 45.69 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708829477
 8444412241693 ;MT ;ALTO PARAGUAI ;CENTRO ;AVENIDA FERNANDO CORREA DA COSTA, N. 236, QD 900, LT11 ;72.046,00;130.000,00;44.58;Casa, 0.00 de área total, 57.78 de área privativa, 450.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412241693
 1444408610517 ;MT ;ALTO PARAGUAI ;ALTO PARAGUAI ;AVENIDA GETULIO VARGAS, N. S/N ;140.828,00;218.000,00;35.40;Casa, 0.00 de área total, 94.00 de área privativa, 450.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408610517
 8555503671927 ;MT ;ALTO TAQUARI ;CENTRO ;RUA DELFINO BATISTA, N. SN, LT 06 QD 09 ;83.130,00;150.000,00;44.58;Casa, 0.00 de área total, 46.50 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503671927
 8555515608419 ;MT ;ALTO TAQUARI ;CENTRO ;RUA JUSCELINO KUBITSCHEK DE OLIVEIRA, N. SN, LT 22 QD 05 ;66.504,00;120.000,00;44.58;Casa, 0.00 de área total, 46.50 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555515608419
 8555507740834 ;MT ;ALTO TAQUARI ;Parque Taquari ;RUA DURVALINO BARBOSA, N. SN, LT 23 QD 02 ;120.000,00;120.000,00;0.00;Casa, 0.00 de área total, 46.50 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555507740834
