
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10173439 ;PA ;ABAETETUBA ;Centro ;PASSAGEM COIMBRA, N. 22-A, Apto 203, BL F ;144.000,00;192.000,00;25.00;Apartamento, 0.00 de área total, 54.60 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10173439
 8444405072806 ;PA ;ALTAMIRA ;COLINAS ;RUA WA02 N 0 SN QDB LT12, N. 0, QDB LT12 ;68.166,60;123.000,00;44.58;Casa, 0.00 de área total, 65.00 de área privativa, 185.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405072806
 8055100005064 ;PA ;ALTAMIRA ;BELA VISTA ;RUA 15, N. 0, LT 43 QD Q ;132.041,10;233.000,00;43.33;Casa, 0.00 de área total, 69.80 de área privativa, 366.18 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8055100005064
 1444415578887 ;PA ;ALTAMIRA ;BOA ESPERANCA ;RUA CRISANTEMOS, N. 974, LT 03 QD 48 ;174.294,80;292.000,00;40.31;Casa, 0.00 de área total, 163.40 de área privativa, 360.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415578887
 1444406207561 ;PA ;ALTAMIRA ;ALBERTO SOARES ;ALAMEDA SAO PAULO, N. SN, LT 15, QD 02 ;151.810,00;235.000,00;35.40;Casa, 0.00 de área total, 80.00 de área privativa, 240.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406207561
 1444406009069 ;PA ;ALTAMIRA ;COLINAS ;RUA WA02, N. SN, LT 13, QD B ;76.874,00;119.000,00;35.40;Casa, 0.00 de área total, 65.00 de área privativa, 185.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406009069
 1444409159410 ;PA ;ALTAMIRA ;IBIZA ;TRAVESSA MANOEL ALVES SOARES, N. 1115, LT 01F ;171.836,00;266.000,00;35.40;Casa, 0.00 de área total, 85.00 de área privativa, 160.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409159410
 10149181 ;PA ;ALTAMIRA ;CENTRO ;AVENIDA DJALMA DUTRA, N. 1381 ;894.400,00;1.376.000,00;35.00;Terreno, 0.00 de área total, 0.00 de área privativa, 362.94 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10149181
 1444405954762 ;PA ;ALTAMIRA ;CENTRO ;AVENIDA SALIM MAUAD, N. 4055, 74 ;126.380,35;194.431,30;35.00;Casa, 0.00 de área total, 70.00 de área privativa, 163.77 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405954762
 1444409329919 ;PA ;ALTAMIRA ;IBIZA ;RUA DA CELPA, N. 1315, LT 5 A ;152.100,00;234.000,00;35.00;Casa, 0.00 de área total, 69.90 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409329919
 1444407743815 ;PA ;ALTAMIRA ;IBIZA ;RUA DIRCILENO SANTOS CAMPELO, N. 1030, 0 ;229.600,00;328.000,00;30.00;Casa, 0.00 de área total, 125.83 de área privativa, 250.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407743815
 1444415335330 ;PA ;ALTAMIRA ;MUTIRAO ;RUA SS 7, N. SN, LOTE 07 QUADRA 26 ;211.000,00;211.000,00;0.00;Casa, 0.00 de área total, 69.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415335330
 1444402826577 ;PA ;ALTAMIRA ;SUDAM II ;TRAVESSA OTILIA PITA, N. SN, LOTE 15 QUADRA J ;233.000,00;233.000,00;0.00;Casa, 0.00 de área total, 65.00 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402826577
 1444405705762 ;PA ;ALTAMIRA ;JARDIM INDEPENDENTE I ;RUA RIO BRANCO, N. SN, LOTE 28 QD 12 ;506.000,00;506.000,00;0.00;Casa, 0.00 de área total, 206.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405705762
 1444406036805 ;PA ;ALTAMIRA ;JARDIM INDEPENDENTE I ;RUA ACESSO 04, N. SN, LOTE 08 QD 12 ;317.000,00;317.000,00;0.00;Casa, 0.00 de área total, 300.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406036805
 1444406293182 ;PA ;ALTAMIRA ;ALBERTO SOARES ;ALAMEDA SAO PAULO, N. 5, LT 05 QD 02 ;273.000,00;273.000,00;0.00;Casa, 0.00 de área total, 80.00 de área privativa, 240.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406293182
 1444402413493 ;PA ;ALTAMIRA ;COLINAS ;RUA WE 07, N. SN, LT 08B4 QD P ;271.000,00;271.000,00;0.00;Casa, 0.00 de área total, 69.80 de área privativa, 226.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402413493
 8444406744433 ;PA ;ALTAMIRA ;COLINAS ;RUA WE06, N. SN, LOTE 06 QUADRA K ;116.000,00;116.000,00;0.00;Casa, 0.00 de área total, 62.00 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406744433
 1444408340145 ;PA ;ALTAMIRA ;IBIZA ;RUA OLGA BELLO SOARES, N. 2080, CS ;306.000,00;306.000,00;0.00;Casa, 0.00 de área total, 69.90 de área privativa, 230.65 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408340145
 8444409906647 ;PA ;ALTAMIRA ;BELA VISTA ;RUA SEIS, N. SN, LT 46 QD H ;120.555,16;120.000,00;0.00;Casa, 0.00 de área total, 62.00 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409906647
 1444405855101 ;PA ;ALTAMIRA ;IBIZA ;RUA MARIA ALVES DA SILVA, N. 1900, QD 04 LT 11 ;450.000,00;360.000,00;0.00;Casa, 0.00 de área total, 196.66 de área privativa, 250.72 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405855101
 8444406823996 ;PA ;ANANINDEUA ;CIDADE NOVA ;TRAVESSA SN-04, N. S/N, Apto 105, QD S, BL 03 ;118.000,00;236.000,00;50.00;Apartamento, 0.00 de área total, 42.45 de área privativa, 0.00 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406823996
