
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555508847217 ;PB ;ALHANDRA ;CENTRO ;VIA LOCAL 4, N. SN, LTS 11, 12, 13 E 14C, QD D ;45.000,00;100.000,00;55.00;Casa, 0.00 de área total, 59.52 de área privativa, 114.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555508847217
 8444403035547 ;PB ;ALHANDRA ;CENTRO ;RUA LOCAL 02 (R PROJETADA), N. S/N, QD B, LT 48 ;54.888,65;115.000,00;52.28;Casa, 0.00 de área total, 59.85 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403035547
 8555508235149 ;PB ;ALHANDRA ;CENTRO ;VIA LOCAL 4, N. SN, LT 11/12/13/14-F QD D ;30.704,68;58.786,00;47.77;Casa, 0.00 de área total, 59.52 de área privativa, 114.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555508235149
 8444422936457 ;PB ;ALHANDRA ;CENTRO ;RUA PROJETADA(RES NOSSA SENHORA DA ASSUNCAO), CS 07, QD V, LT 02, LOT JARDIM LUSITAN ;69.829,19;126.000,00;44.59;Casa, 71.50 de área total, 71.50 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422936457
 8444405758732 ;PB ;ALHANDRA ;Nova Alhandra ;RUA JOSEFA CARNEIRO DE ARAUJO, N. A, LOTE 05A05B QUADRA 03 ;64.841,40;117.000,00;44.58;Casa, 68.00 de área total, 68.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405758732
 8444422565866 ;PB ;ALHANDRA ;JARDIM LUSITANO ;RUA PROJETADA, QD V, LT 02, CS 08 ;69.829,20;126.000,00;44.58;Casa, 0.00 de área total, 71.50 de área privativa, 100.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422565866
 8444409363813 ;PB ;ALHANDRA ;LT 25 QD 18 ;RUA PROJETADA, N. SN, CASA A ;62.337,00;110.000,00;43.33;Casa, 77.60 de área total, 43.86 de área privativa, 100.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409363813
 8555517285471 ;PB ;ALHANDRA ;CENTRO ;RUA MARIANA BARBOSA DE LIMA, N. SN, QD28 LT12E ;120.000,00;120.000,00;0.00;Casa, 0.00 de área total, 69.30 de área privativa, 247.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555517285471
 8444410040798 ;PB ;ARACAGI ;BELA VISTA ;RUA MANOEL GOMES DA SILVA, N. SN, 0 ;100.200,00;167.000,00;40.00;Casa, 0.00 de área total, 113.60 de área privativa, 210.91 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410040798
 8444401591671 ;PB ;ARACAGI ;SAO JOAO BATISTA ;RUA CARLOS FERNANDES DE MENDONCA, N. 7, SETOR 3 LT  47 QD 1 ;98.000,00;98.000,00;0.00;Casa, 0.00 de área total, 94.08 de área privativa, 179.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401591671
 8444410564304 ;PB ;ARARA ;CENTRO ;RUA JOAO PEREIRA DUARTE, N. SN, LT 17 QD C ;43.320,00;108.300,00;60.00;Casa, 0.00 de área total, 90.00 de área privativa, 164.16 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410564304
 1444402095092 ;PB ;ARARUNA ;LOT RESIDENCE IPESII ;RUA PROJETADA 04, QD-G LT-12 ;56.683,20;112.000,00;49.39;Casa, 0.00 de área total, 70.00 de área privativa, 125.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402095092
 8444408238071 ;PB ;BARRA DE SANTA ROSA ;Centro ;RUA PROJETADA 03, N. SN, CS 103 ;53.203,20;96.000,00;44.58;Casa, 0.00 de área total, 59.78 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408238071
 8444408190206 ;PB ;BARRA DE SANTA ROSA ;CENTRO ;RUA PROJETADA, N. 3, CS 102 ;52.649,00;95.000,00;44.58;Casa, 59.77 de área total, 59.77 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408190206
 8444412464641 ;PB ;BARRA DE SANTA ROSA ;LOT SANTA ROSA ;RUA JOAO INACIO DA COSTA, N. SN, LT 11D5 QD D ;100.000,00;100.000,00;0.00;Casa, 0.00 de área total, 69.90 de área privativa, 162.96 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412464641
 8555517210692 ;PB ;BARRA DE SANTA ROSA ;LOT SANTA ROSA ;RUA FLORIANO DE CARVALHO DANTAS NETO, N. SN, LOTE 06 QD B ;100.000,00;100.000,00;0.00;Casa, 0.00 de área total, 69.90 de área privativa, 228.53 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555517210692
 8444410815242 ;PB ;BAYEUX ;LOTEAMENTO AEROPORTO ;RUA PROJETADA 06, N. 515, CASA 01 ;62.347,50;112.500,00;44.58;Casa, 0.00 de área total, 57.13 de área privativa, 232.52 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410815242
 8444412678064 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 129, CASA 01 ;74.817,00;135.000,00;44.58;Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412678064
 8444415707790 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 137, QD 12, LT A7, CS 01 ;68.720,80;124.000,00;44.58;Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415707790
 1555527161351 ;PB ;BAYEUX ;BRASILIA ;RUA JOSE MONTEIRO DA SILVA, N. 20, Apto 003 ;37.767,19;68.000,00;44.47;Apartamento, 0.00 de área total, 64.87 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555527161351
