
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444406607282 ;PE ;ABREU E LIMA ;DESTERRO ;RUA PRESBITERO MANOEL RODRIGUES, N. 156, Apto B ;74.816,99;135.000,00;44.59;Apartamento, 59.44 de área total, 59.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406607282
 8444409186709 ;PE ;ABREU E LIMA ;DESTERRO ;RUA PRESBITERO MANOEL RODRIGUES, N. 563, Apto 102 ;71.696,85;129.370,00;44.59;Apartamento, 0.00 de área total, 69.90 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409186709
 8444410376630 ;PE ;ABREU E LIMA ;DESTERRO ;RUA PROJETADA, N. 26E ;68.754,51;124.060,84;44.59;Apartamento, 47.72 de área total, 47.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410376630
 8444416184015 ;PE ;ABREU E LIMA ;DESTERRO ;AVENIDA TEJIPIO, N. 16, Apto 104, TERREO ;62.513,76;112.800,00;44.58;Apartamento, 0.00 de área total, 50.32 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416184015
 8444422155307 ;PE ;ABREU E LIMA ;PLANALTO ;RUA ESTACAO OUTONO, N. 66, Apto 301, BL B, MANOEL RODRIGUES PINHEIRO ;78.696,40;142.000,00;44.58;Apartamento, 0.00 de área total, 52.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422155307
 8444414120192 ;PE ;ABREU E LIMA ;DESTERRO ;RUA EUNICE PEREIRA DE ALBUQUERQUE, N. 58, CASA 01 ;69.275,00;125.000,00;44.58;Casa, 0.00 de área total, 56.21 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414120192
 8444419069616 ;PE ;ABREU E LIMA ;DESTERRO ;RUA ALAMEDA CUMARU, N. 179, Apto 002 ;59.853,60;108.000,00;44.58;Apartamento, 0.00 de área total, 41.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419069616
 8555518210467 ;PE ;ABREU E LIMA ;JARDIM CAETES ;TRAVESSA DA RUA CARUARU, N. 778, L 06 Q 28 ;198.345,00;350.000,00;43.33;Casa, 0.00 de área total, 142.40 de área privativa, 600.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518210467
 8444406722383 ;PE ;ABREU E LIMA ;DESTERRO ;RUA DA NATIVIDADE N 156C CS156C, N. 156, CS156C ;62.337,00;110.000,00;43.33;Casa, 0.00 de área total, 59.44 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406722383
 8444412950961 ;PE ;ABREU E LIMA ;DESTERRO ;R JOSEFA MARIA, Apto 8D ;73.671,00;130.000,00;43.33;Apartamento, 0.00 de área total, 55.82 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412950961
 8444408496852 ;PE ;ABREU E LIMA ;PLANALTO ;RUA DA LIBERDADE (ANTIGA RUA PROJETADA), N. 241 ;75.552,00;131.000,00;42.33;Casa, 52.63 de área total, 52.63 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408496852
 8444424108551 ;PE ;ABREU E LIMA ;PLANALTO ;RUA ESTACAO OUTONO, N. 66, Apto 304, DUPLEX 1 - BL B ;81.218,40;129.000,00;37.04;Apartamento, 131.78 de área total, 52.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424108551
 8444414487835 ;PE ;AFOGADOS DA INGAZEIRA ;CENTRO ;RUA SEM DENOMINAÇÃO 145, N. S/N, QD F LT07 ;52.088,87;116.276,81;55.21;Casa, 80.48 de área total, 80.48 de área privativa, 90.79 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414487835
 8555519305100 ;PE ;AFOGADOS DA INGAZEIRA ;São Francisco ;RUA SEM DENOMINAÇÃO 218 (RUA PROJETADA), N. S/N, QD I, LT 01 ;72.950,64;147.984,44;50.71;Casa, 0.00 de área total, 103.96 de área privativa, 126.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519305100
 8444407251236 ;PE ;AFOGADOS DA INGAZEIRA ;PADRE PEDRO PEREIRA ;RUA JOSE RAMOS DA SILVEIRA (ANTIGA RUA PROJETADA), N. 900 ;66.060,64;119.200,00;44.58;Casa, 0.00 de área total, 93.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407251236
 8444408458810 ;PE ;AFOGADOS DA INGAZEIRA ;CENTRO ;RUA SEM DENOMINACAO, N. 145, 0 ;84.031,55;140.052,59;40.00;Casa, 0.00 de área total, 92.60 de área privativa, 120.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408458810
 1444414773937 ;PE ;AFOGADOS DA INGAZEIRA ;São Brás ;RUA DAMIAO ALVES DOS SANTOS, N. 212, CADASTRO IMOBILIARIO MUNICIPAL 0103079 ;79.270,91;122.710,40;35.41;Casa, 0.00 de área total, 67.77 de área privativa, 86.85 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414773937
 1444413351613 ;PE ;AFOGADOS DA INGAZEIRA ;BAIRRO SAO BRAS ;RUA SEM DENOMINACAO 208 CASA NUMERO 246, N. 246 ;80.750,00;125.000,00;35.40;Casa, 0.00 de área total, 78.49 de área privativa, 90.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413351613
 1444413516760 ;PE ;AFOGADOS DA INGAZEIRA ;BAIRRO BROTAS ;RUA MECANICO DOMINGOS FERREIRA LIMA NUMERO 43, N. 43 ;215.118,00;333.000,00;35.40;Casa, 0.00 de área total, 223.65 de área privativa, 174.49 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413516760
 1444416369351 ;PE ;AFOGADOS DA INGAZEIRA ;São Brás ;RUA DAMIAO ALVES DOS SANTOS, N. 369, 0 ;109.820,00;170.000,00;35.40;Casa, 0.00 de área total, 95.43 de área privativa, 105.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416369351
