
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444409917509 ;PI ;ALAGOINHA DO PIAUI ;CENTRO ;RUA PROFESSORA ZENITA BRITO, N. 21 ;47.107,00;85.000,00;44.58;Casa, 70.00 de área total, 70.00 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409917509
 8444404904085 ;PI ;ALEGRETE DO PIAUI ;CENTRO ;RUA DOM EXPEDITO LOPES, N. 26, SN, ;78.504,61;141.653,96;44.59;Casa, 0.00 de área total, 96.10 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404904085
 8444413010610 ;PI ;ALTOS ;MATADOURO ;RUA OSVALDO CRUZ, N. 416 ;44.330,10;107.000,00;58.57;Casa, 0.00 de área total, 69.98 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413010610
 8444402301626 ;PI ;ALTOS ;SAO LUIS ;RUA SANTO INACIO, N. 53, 0 ;54.175,00;98.500,00;45.00;Casa, 0.00 de área total, 48.00 de área privativa, 190.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402301626
 8444403868697 ;PI ;ALTOS ;SÃO SEBASTIÃO ;RUA  EPITACIO PESSOA, N. 1411, 0 ;63.558,09;115.560,17;45.00;Casa, 0.00 de área total, 122.19 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403868697
 8555535734886 ;PI ;ALTOS ;BAIRRO SANTA LUZ ;  I, N. 230, BLOCO 8  QUADRA B ;60.500,00;110.000,00;45.00;Casa, 0.00 de área total, 45.20 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535734886
 8444404354204 ;PI ;ALTOS ;CENTRO ;RUA LUANDA, N. 186, 0 ;40.128,00;72.960,00;45.00;Casa, 0.00 de área total, 56.00 de área privativa, 202.50 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404354204
 8444404410520 ;PI ;ALTOS ;CENTRO ;RUA PROJETADA, N. 72, ZONA SUBURBANA ;46.750,00;85.000,00;45.00;Casa, 0.00 de área total, 45.90 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404410520
 8444406448524 ;PI ;ALTOS ;LOT JD CIDADE RESIDE ;RUA VI, N. 76, LT 12 QD F ;59.828,99;107.955,60;44.59;Casa, 0.00 de área total, 64.50 de área privativa, 250.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406448524
 8444406710598 ;PI ;ALTOS ;SAO LUIS ;AVENIDA  CESAR LEAL, N. 1242 ;36.447,14;65.765,33;44.59;Casa, 0.00 de área total, 45.11 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406710598
 8444410183289 ;PI ;ALTOS ;SAO LUIS ;RUA  ALCOBACA, N. 1157, 0 ;29.353,20;52.965,00;44.59;Casa, 0.00 de área total, 45.11 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), sacada, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410183289
 8444424070309 ;PI ;ALTOS ;SANTA INÊS ;RUA BERTOLINIA, N. 1410, QD  I ;60.013,91;108.289,28;44.59;Casa, 0.00 de área total, 58.94 de área privativa, 227.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424070309
 8444424123143 ;PI ;ALTOS ;BAIXAO DOS PAIVAS ;BR 343, N. 30, LT 10 QD E ;49.460,22;89.246,16;44.59;Casa, 0.00 de área total, 52.63 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424123143
 8444401757952 ;PI ;ALTOS ;CENTRO ;RUA PERIMETAL III, N. 1221, QD S ;41.036,43;74.046,25;44.59;Casa, 0.00 de área total, 65.00 de área privativa, 312.50 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401757952
 8444409387160 ;PI ;ALTOS ;CENTRO ;RUA JOÃO DA PAIVA, N. 1115, CASA 0 ;40.141,80;72.432,00;44.59;Casa, 45.00 de área total, 45.00 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409387160
 8444407480162 ;PI ;ALTOS ;BAIRRO CIANA ;RUA GRAJAU N 55 55, N. 55, 55 ;46.552,80;84.000,00;44.58;Casa, 0.00 de área total, 69.98 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407480162
 8444408471680 ;PI ;ALTOS ;BOCA DE BARRO ;RUA JOAO SIMEAO, N. 580 ;45.998,60;83.000,00;44.58;Casa, 69.93 de área total, 69.93 de área privativa, 280.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408471680
 8444409828697 ;PI ;ALTOS ;CIANA ;RUA SANTO ANDRE, N. 299, 299 ;69.275,00;125.000,00;44.58;Casa, 0.00 de área total, 69.68 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409828697
 8444413087043 ;PI ;ALTOS ;SANTA INÊS ;RUA COLORADO, N. 2104 ;41.010,80;74.000,00;44.58;Casa, 50.16 de área total, 50.16 de área privativa, 190.52 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413087043
 8444416207678 ;PI ;ALTOS ;CIANA ;RUA SANTO ANDRE, N. 2377 ;50.432,20;91.000,00;44.58;Casa, 49.05 de área total, 49.05 de área privativa, 247.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416207678
 8444416626077 ;PI ;ALTOS ;SÃO SEBASTIÃO ;AVENIDA MONSENHOR MATHEUS, N. 466, QD F ;51.374,34;92.700,00;44.58;Casa, 54.66 de área total, 54.66 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416626077
 8444417138599 ;PI ;ALTOS ;CIANA ;RUA SANTO ANDRE, N. 2367, 0 ;52.780,90;95.238,00;44.58;Casa, 0.00 de área total, 49.05 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417138599
