
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787710286930 ;PR ;ALMIRANTE TAMANDARE ;JARDIM SANTO ANTONIO ;RUA MAURICIO ROSEMANN, N. 255, Apto 208, BL 03 ;106.248,20;178.000,00;40.31;Apartamento, 0.00 de área total, 44.34 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710286930
 8555535259614 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 271, Apto 301, BL 04 ;95.584,71;159.307,85;40.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535259614
 8787700674571 ;PR ;ALMIRANTE TAMANDARE ;PLANTA ALMIRANTE ;RUA JOSE KLEINA, N. 501, Apto 84, BL 21 ;108.000,00;180.000,00;40.00;Apartamento, 0.00 de área total, 44.38 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700674571
 8555533601226 ;PR ;ALMIRANTE TAMANDARE ;SAO FELIPE ;RUA MANOEL BARBOSA, N. 271, Apto 302, BL 03 ;102.900,00;171.500,00;40.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555533601226
 8787708321384 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 207, Apto 6521, BL 65 ;88.239,40;142.000,00;37.86;Apartamento, 0.00 de área total, 41.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708321384
 8787702884115 ;PR ;ALMIRANTE TAMANDARE ;JARDIM SANTO ANTONIO ;RUA MAURICIO ROSEMANN, N. 455, Apto 1018, BL 10 BOX 36 ;101.365,60;161.000,00;37.04;Apartamento, 0.00 de área total, 43.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702884115
 8555515927433 ;PR ;ALMIRANTE TAMANDARE ;CAMPO DO ARRUDA ;RUA PARAGUAI, N. 156, Apto 22, BL 02 ;193.500,00;193.500,00;0.00;Apartamento, 0.00 de área total, 46.05 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555515927433
 1555533671277 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 271, CS 1 ;210.000,00;210.000,00;0.00;Casa, 0.00 de área total, 48.55 de área privativa, 196.28 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555533671277
 8787707427936 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 207, Apto 1092, BL 109 ;156.000,00;156.000,00;0.00;Apartamento, 0.00 de área total, 41.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707427936
 1555531570244 ;PR ;ALMIRANTE TAMANDARE ;TANGUA ;RUA RUI BARBOSA, N. 11, Apto 211, BL 02 VG 10 ;201.000,00;201.000,00;0.00;Apartamento, 0.00 de área total, 51.02 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531570244
 8444401513816 ;PR ;ALMIRANTE TAMANDARE ;TANGUA ;RUA RUI BARBOSA, N. 10, Apto 132, BLOCO 01 ;203.000,00;203.000,00;0.00;Apartamento, 0.00 de área total, 51.02 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401513816
 8787705240804 ;PR ;ALMIRANTE TAMANDARE ;CACHOEIRA ;RUA MAURICIO ROSEMANN, N. 455, Apto 833, BLOCO 08 VG 252 ;156.000,00;156.000,00;0.00;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705240804
 8787708489153 ;PR ;ALMIRANTE TAMANDARE ;CACHOEIRA ;RUA MAURICIO ROSEMANN, N. 225, Apto 207, BLOCO 02 ;175.000,00;175.000,00;0.00;Apartamento, 0.00 de área total, 45.02 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708489153
 8787707990339 ;PR ;ALMIRANTE TAMANDARE ;JARDIM CAMPO VERDE ;RUA MANOEL BARBOSA, N. 207, Apto 2912, BL 29 VG 98 ;153.245,76;150.300,00;0.00;Apartamento, 0.00 de área total, 40.32 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707990339
 8555527170693 ;PR ;ALTO PARANA ;CENTRO ;RUA PROJETADA D, N. 25, 409A08 ;41.250,00;75.000,00;45.00;Casa, 0.00 de área total, 45.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527170693
 8444413041710 ;PR ;ALTO PIQUIRI ;CENTRO ;RUA JOSE ALVES, N. 969, QD 07 ;77.400,00;129.000,00;40.00;Casa, 0.00 de área total, 61.16 de área privativa, 189.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413041710
 8444406935778 ;PR ;ALVORADA DO SUL ;CENTRO ;RUA LUIZ FERNANDO CAMBA ANTIGA RUA PROJETADA D, N. SN, LT 01  QD 01 ;65.949,80;119.000,00;44.58;Casa, 0.00 de área total, 60.05 de área privativa, 120.88 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406935778
 8787700074973 ;PR ;ALVORADA DO SUL ;LOT RES ESPERANCA DO ;RUA HERMES JOSE SOLCIA - ANTIGA RUA A, N. 287, QD 02 LT 05 ;129.000,00;129.000,00;0.00;Casa, 0.00 de área total, 76.80 de área privativa, 194.91 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700074973
 8787700815302 ;PR ;ALVORADA DO SUL ;CENTRO ;RUA CLODOALDO SALZANO, N. SN, LT 13 QD 04 ;94.000,00;94.000,00;0.00;Casa, 0.00 de área total, 48.70 de área privativa, 260.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700815302
 8444401739660 ;PR ;ANDIRA ;CENTRO ;RUA DANIEL MOLINA, N. 37, PATRIMONIO N. SENHORA APARECIDA ;61.555,39;136.789,75;55.00;Casa, 0.00 de área total, 53.60 de área privativa, 286.07 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401739660
