
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787707542735 ;RJ ;ABARRACAMENTO ;PACIENCIA ;AV. AV BRASIL, N. 48677, Apto 108, BL. 01 ;82.409,54;148.700,00;44.58;Apartamento, 0.00 de área total, 43.53 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707542735
 1555516789362 ;RJ ;ABARRACAMENTO ;  ;AVENIDA BEIRA RIO, N. 370, CASA 102, LOTE 09, QUADRA A ;201.000,00;335.000,00;40.00;Casa, 0.00 de área total, 99.01 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555516789362
 1555532580855 ;RJ ;ANGRA DOS REIS ;PARQUE BELEM (CUNHAMBEBE) ;RUA ANJOS DO SENHOR, Apto 08, QD VIII LT 266 ;103.360,00;160.000,00;35.40;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532580855
 1444413152424 ;RJ ;ANGRA DOS REIS ;AREAL (CUNHAMBEBE) ;RUA LAVRADOR JOSE ALVES FILHO N SN CASA23 312A, N. SN, 312A ;230.622,00;357.000,00;35.40;Casa, 0.00 de área total, 119.39 de área privativa, 122.52 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413152424
 1444413830678 ;RJ ;ANGRA DOS REIS ;PARQUE MAMBUCABA MAM ;RUA TRES DE MAIO, N. SN, QD 60 LT 21 ;816.322,30;816.322,30;0.00;Casa, 0.00 de área total, 356.53 de área privativa, 1200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413830678
 1444407844840 ;RJ ;ANGRA DOS REIS ;GARATUCAIA ;QUADRA 9, N. SN, LOTE 01 ;230.000,00;230.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407844840
 8444420546112 ;RJ ;ARARUAMA ;ARARUAMA ;RUA DO CONTORNO, N. 276, QD 38 LT 14 CS102 ;53.859,00;130.000,00;58.57;Casa, 0.00 de área total, 63.19 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420546112
 1555525859238 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RUA DAS AMENDOEIRAS, N. 16, QD 16 LT 01 ;112.500,00;225.000,00;50.00;Casa, 0.00 de área total, 141.52 de área privativa, 525.00 de área do terreno,  1 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555525859238
 8444412876427 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA MADUREIRA, N. 845, CASA 102 ;101.846,48;190.000,00;46.40;Casa, 0.00 de área total, 68.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412876427
 1444401200380 ;RJ ;ARARUAMA ;FAZENDINHA ;RUA DOZE DE SETEMBRO, N. 180, CS 102 ;123.254,58;228.000,00;45.95;Casa, 0.00 de área total, 86.70 de área privativa, 116.55 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401200380
 8444401696880 ;RJ ;ARARUAMA ;PARQUE DAS ACACIAS ;RUA DOMINGOS MOIELLA, N. 44, CS 101 ;47.850,00;87.000,00;45.00;Casa, 0.00 de área total, 34.82 de área privativa, 360.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401696880
 8555518160370 ;RJ ;ARARUAMA ;LOT LOGOARAMA ;RUA  TIRADENTES, N. 37, CS 08, LT 25A, QD P ;113.575,53;204.936,00;44.59;Casa, 0.00 de área total, 67.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518160370
 8444400450802 ;RJ ;ARARUAMA ;PARACATU MORRO GRAND ;RUA XI, N. 11, CASA ;110.285,80;199.000,00;44.58;Casa, 261.53 de área total, 261.53 de área privativa, 412.38 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400450802
 8444415562032 ;RJ ;ARARUAMA ;CENTRO SAO VICENTE ;ESTRADA RJ  138, N. 180, UNIDADE 36 ;74.262,80;134.000,00;44.58;Casa, 58.46 de área total, 58.46 de área privativa, 163.23 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415562032
 8444420123793 ;RJ ;ARARUAMA ;NOVO HORIZONTE ;RUA DO CONTORNO, N. 276, CASA 103 ;72.239,97;130.350,00;44.58;Casa, 0.00 de área total, 63.19 de área privativa, 750.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420123793
 8444401565816 ;RJ ;ARARUAMA ;BOA PERNA ;RUA R DOMINGOS MOIELLA, N. 44, CS.203,, N. 44, LT.30, QD.A, LOT. PARQUE SOL NASCENTE ;44.336,00;80.000,00;44.58;Casa, 0.00 de área total, 29.19 de área privativa, 360.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401565816
 8444420614240 ;RJ ;ARARUAMA ;PARATY ;RUA JURUA, N. 100, CASA 8 ;96.430,80;174.000,00;44.58;Casa, 0.00 de área total, 58.09 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420614240
 8444411394216 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA WALDOMIRO MAXIMO CARVALHO, N. 106, QD 34, LT 510, CS 04 ;68.166,60;123.000,00;44.58;Casa, 0.00 de área total, 52.01 de área privativa, 457.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411394216
 1555534288140 ;RJ ;ARARUAMA ;BANANEIRAS IGUABINHA ;RUA VERONICA ANTUNES, N. 57 ;491.529,00;885.000,00;44.46;Casa, 0.00 de área total, 296.79 de área privativa, 450.00 de área do terreno,  5 qto(s), WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, 3 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534288140
 1555520317895 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA INDAIA, N. 295, LT 40 QD 29 ;147.181,00;265.000,00;44.46;Casa, 0.00 de área total, 231.59 de área privativa, 600.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520317895
 8444409438830 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINACAO, N. 107, LT 4B ;91.238,70;161.000,00;43.33;Casa, 0.00 de área total, 81.12 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409438830
