
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444408072130 ;RN ;ACARI ;IGUARAÇU ;RUA RUA FRANCISCA VALENTIM DOS SANTOS, N. 20 ;33.806,20;61.000,00;44.58;Outros, 0.00 de área total, 52.46 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408072130
 8555529820300 ;RN ;ACARI ;PETRÓPOLIS ;RUA JOSE NORTE DE MEDEIROS, N. 37, . ;81.000,00;81.000,00;0.00;Casa, 0.00 de área total, 55.18 de área privativa, 312.50 de área do terreno,  2 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555529820300
 1555527783905 ;RN ;ACU ;JOAO PAULO II ;RUA JOÃO FRANCISCO DE MACEDO, N. S/N ;73.617,60;147.000,00;49.92;Terreno, 0.00 de área total, 0.00 de área privativa, 1800.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555527783905
 8444408564009 ;RN ;ACU ;CENTRO ;RUA LUIZ BENTO DA SILVA, N. 325, 0 ;66.870,60;118.000,00;43.33;Casa, 0.00 de área total, 103.55 de área privativa, 201.90 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408564009
 8444425033423 ;RN ;ACU ;JOAO PAULO II ;RUA DJALMA MAURICIO DOS PASSOS BARROS, N. 80, LOTE 09 QUADRA 05 ;82.462,79;94.634,44;12.87;Casa, 0.00 de área total, 54.66 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425033423
 8444400786746 ;RN ;ACU ;ALTO SÃO FRANCISCO ;RUA ETELVINA MEDEIROS FONSECA, N. 124, . ;96.000,00;96.000,00;0.00;Casa, 0.00 de área total, 68.52 de área privativa, 200.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400786746
 8444415074429 ;RN ;ACU ;MES AMOURS ;AVENIDA COMANDANTE MANOEL LINS CALDAS, N. 1244, . ;125.000,00;125.000,00;0.00;Casa, 0.00 de área total, 65.00 de área privativa, 189.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415074429
 8555516309598 ;RN ;ACU ;QUINTA DO FAROL ;RUA EDILSON CALDAS DA SILVA, N. 204, . ;91.000,00;91.000,00;0.00;Casa, 0.00 de área total, 68.42 de área privativa, 201.90 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516309598
 8444403599122 ;RN ;ACU ;QUINTA DO FAROL ;RUA JOSE MORAIS SOBRINHO, N. 31, . ;103.862,19;52.920,20;0.00;Casa, 0.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403599122
 1444408678375 ;RN ;BAIA FORMOSA ;CENTRO ;RUA ANTONIO HENRIQUE SOUTO, N. 40, 0 ;415.200,00;519.000,00;20.00;Casa, 0.00 de área total, 205.80 de área privativa, 711.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 3 sala(s), DCE, cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408678375
 8444404534890 ;RN ;BARAUNA ;CENTRO ;AVENIDA RAIMUNDA TEIXEIRA DE OLIVEIRA, N. 151, . ;96.000,00;96.000,00;0.00;Casa, 0.00 de área total, 63.34 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404534890
 10187459 ;RN ;BARAUNA ;CENTRO ;RUA MARIA DE LOURDES CARVALHO REBOUÇAS, N. 00 ;255.000,00;236.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 3552.65 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10187459
 10143362 ;RN ;BOM JESUS ;CENTRO ;RUA MARIA JOSÉ DELGADO, N. S/N ;291.902,40;432.000,00;32.43;Terreno, 0.00 de área total, 0.00 de área privativa, 10728.07 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143362
 8444423647637 ;RN ;BOM JESUS ;CENTRO ;RUA PRAIA DE BARRA DO RIO, N. 253, LT 302 QD 12 ;97.041,81;90.000,00;0.00;Casa, 0.00 de área total, 60.90 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423647637
 8444407558510 ;RN ;CAICO ;JOAO XXIII ;RUA ADONIAS MELO, N. 189 ;52.649,00;95.000,00;44.58;Casa, 0.00 de área total, 68.62 de área privativa, 75.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407558510
 8444404566627 ;RN ;CAICO ;PAULO VI ;RUA FRANCISCO ALVES MAIS, N. 70 ;52.687,78;92.972,98;43.34;Casa, 0.00 de área total, 79.33 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404566627
 8444404244123 ;RN ;CAICO ;BAIRRO JOAO XXIII ;RUA ANTONIO ALADIM N 350, N. 350, CASA ;51.003,00;90.000,00;43.33;Casa, 0.00 de área total, 113.07 de área privativa, 133.92 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404244123
 1555500053728 ;RN ;CAICO ;JARDIM SATELITE II ;RUA JOSE GARCES VIEIRA, N. 0, QD 01, LT 03 ;88.800,00;148.000,00;40.00;Casa, 0.00 de área total, 191.93 de área privativa, 419.85 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555500053728
 8444411083091 ;RN ;CAICO ;SAMANAU ;RUA PROFESSORA MARTA ARAUJO, N. 596, LT 06 QD 09 ;115.570,62;22.000,00;0.00;Casa, 0.00 de área total, 83.00 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411083091
 8444408144107 ;RN ;CAMPO GRANDE ;ALTOS DO PANAMA ;RUA CLAUDIONOR BATISTA DE OLIVEIRA, N. 7 ;41.565,00;75.000,00;44.58;Casa, 0.00 de área total, 60.00 de área privativa, 244.10 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408144107
 8444416072381 ;RN ;CAMPO REDONDO ;CAMPO DAS COLINAS ;RUA OSVALDO NOBERTO DA COSTA, N. 116, QD 09, LT 27 ;42.699,98;77.047,97;44.59;Casa, 0.00 de área total, 62.70 de área privativa, 134.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416072381
