
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10164540 ;RO ;ALTA FLORESTA D'OESTE ;Santa Felicidade ;AVENIDA PARANÁ, N. 3608, ST 3, QD 45, LT 08 ;297.537,00;410.000,00;27.43;Casa, 0.00 de área total, 238.43 de área privativa, 597.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10164540
 10145863 ;RO ;ARIQUEMES ;JAMARI ;RUA DOM PEDRO II, N. 599, QUADRA 01, LOTE 01 ;99.420,90;137.000,00;27.43;Casa, 0.00 de área total, 105.00 de área privativa, 199.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10145863
 1555532343772 ;RO ;CACOAL ;CENTRO ;RUA PROJETADA A N SN ISOLADA 201685, N. 685 ;85.531,60;154.000,00;44.46;Terreno, 0.00 de área total, 0.00 de área privativa, 1175.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532343772
 1555533136487 ;RO ;CACOAL ;CENTRO ;AVENIDA PROJETADA A N SN 1 2004138, N. 138 ;87.336,65;157.250,00;44.46;Terreno, 0.00 de área total, 0.00 de área privativa, 1610.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555533136487
 1555532353387 ;RO ;CACOAL ;CASTELINHO ;AVENIDA PROJETADA A, N. SN, LT 161, QD 04, SETOR 20, ZONA ZI 02 ;115.326,00;180.000,00;35.93;Terreno, 0.00 de área total, 0.00 de área privativa, 1610.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532353387
 10171794 ;RO ;CACOAL ;INDUSTRIAL ;RUA SANTO AMARO, N. 00, ST 05, QD 41, LT 03-G ;65.312,99;90.000,00;27.44;Terreno, 0.00 de área total, 0.00 de área privativa, 359.50 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171794
 10171796 ;RO ;CACOAL ;INDUSTRIAL ;RUA SANTO AMARO, N. 00, ST 05, QD 41, LT 03-H1 ;78.375,60;108.000,00;27.43;Terreno, 0.00 de área total, 0.00 de área privativa, 359.50 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171796
 10168519 ;RO ;CACOAL ;FLORESTA ;RUA ANTONIO DEODATO DURCE, N. 3570, Apto 303, TR 3 ;127.360,35;175.500,00;27.43;Apartamento, 0.00 de área total, 58.58 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10168519
 10171795 ;RO ;CACOAL ;INDUSTRIAL ;RUA SANTO AMARO, N. 00, ST 05, QD 41, LT 03-H ;60.451,87;62.000,00;2.50;Terreno, 0.00 de área total, 0.00 de área privativa, 359.50 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171795
 8444425399932 ;RO ;CACOAL ;LOT RES GREENVILE II ;RUA CORA CORALINA, N. SN, LT 348 QD 98 ST 14 ;65.000,00;64.049,11;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425399932
 10171509 ;RO ;COLORADO DO OESTE ;CENTRO ;AVENIDA PAULO DE ASSIS RIBEIRO, N. 3458 ;101.597,98;140.000,00;27.44;Terreno, 0.00 de área total, 0.00 de área privativa, 818.06 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171509
 8444419656074 ;RO ;GUAJARA-MIRIM ;CENTRO ;AVENIDA AVENIDA NOSSA SENHORA DE FÁTIMA, N. 0, LT 23, QD59, SETOR IV ;66.504,00;120.000,00;44.58;Casa, 62.80 de área total, 62.80 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419656074
 8444423988515 ;RO ;GUAJARA-MIRIM ;CENTRO ;AVENIDA AVENIDA NOSSA SENHORA DE FATIMA, N. 1853, LT 12, QD 52, SETOR 04 ;79.804,80;144.000,00;44.58;Casa, 63.35 de área total, 63.35 de área privativa, 175.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423988515
 8444412552508 ;RO ;GUAJARA-MIRIM ;CENTRO ;AVENIDA AVENIDA ABRAHÃO AZULAY, N. 0, LT 12, QD 226, SETOR III ;58.370,10;103.000,00;43.33;Casa, 85.00 de área total, 56.00 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412552508
 8444415964246 ;RO ;GUAJARA-MIRIM ;CENTRO ;TRAVESSA TRAVESSA FRANCISCO PINHEIRO, N. SN, LT 15, QD 94 ;94.469,76;157.449,60;40.00;Casa, 50.97 de área total, 50.97 de área privativa, 225.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415964246
 8444402351780 ;RO ;GUAJARA-MIRIM ;SAO JOSE ;AVENIDA ALAMEDA SAO JOSE, N. SN, LT 20, QD 161, SETOR II ;56.556,96;89.830,00;37.05;Casa, 0.00 de área total, 66.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402351780
 1444407918151 ;RO ;GUAJARA-MIRIM ;PLANALTO ;AVENIDA GIACOMO CASARA, N. SN, QD 53 SETOR IV ;115.000,00;115.000,00;0.00;Casa, 0.00 de área total, 107.00 de área privativa, 287.50 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407918151
 8444423500687 ;RO ;GUAJARA-MIRIM ;CAETANO ;AVENIDA GIACOMO CASARA, N. SN, QD 28 LT 17 ST IV ;159.000,00;159.000,00;0.00;Casa, 0.00 de área total, 67.18 de área privativa, 175.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423500687
 8444427290768 ;RO ;GUAJARA-MIRIM ;OCIDENTAL PARK ;AVENIDA ANA NERY, N. SN, LT 24 QD 76 SETOR 4 ;152.429,17;152.000,00;0.00;Casa, 0.00 de área total, 64.20 de área privativa, 262.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427290768
 1444420213778 ;RO ;GUAJARA-MIRIM ;CAETANO ;AVENIDA ANA NERY, N. SN, LT03 ;406.615,64;397.059,69;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 4500.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444420213778
 10171244 ;RO ;JARU ;Setor 02 ;AVENIDA JK, N. S/N, QD 01, LT 30, SETOR 02, BL C ;677.078,10;1.190.000,00;43.11;Galpão, 0.00 de área total, 500.00 de área privativa, 932.75 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171244
 8444424724783 ;RO ;JARU ;Setor 07 ;RUA PARANA, N. S/N, LOT 27 QD 06 BL B ;99.682,30;167.000,00;40.31;Casa, 61.00 de área total, 61.00 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424724783
