
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444413926053 ;RR ;BOA VISTA ;JOQUEI CLUBE ;RUA CJ13, N. 229, LT 162 QD 821 ;240.000,00;240.000,00;0.00;Casa, 0.00 de área total, 58.00 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413926053
 1444400666017 ;RR ;BOA VISTA ;CENTENARIO ;RUA BERGAMO, N. 696, LT 128 QD 20 ZN 07 ;452.000,00;452.000,00;0.00;Casa, 0.00 de área total, 164.04 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400666017
 1444400138290 ;RR ;BOA VISTA ;CIDADE SATELITE ;RUA DA LUA, N. 466, QD 10 LT 12 ;199.000,00;199.000,00;0.00;Casa, 0.00 de área total, 59.98 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400138290
 8065300013637 ;RR ;BOA VISTA ;CIDADE SATELITE ;RUA CAPELLA, N. 996, LT 425 QD 67 ZONA 15 ;262.000,00;262.000,00;0.00;Casa, 0.00 de área total, 83.11 de área privativa, 384.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8065300013637
 8444410693902 ;RR ;BOA VISTA ;CIDADE SATELITE ;RUA VEJA, N. 710, . ;154.000,00;154.000,00;0.00;Casa, 0.00 de área total, 34.41 de área privativa, 384.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410693902
 8444420027581 ;RR ;BOA VISTA ;CIDADE SATELITE ;RUA FACETEN, N. SN, LT 206 QD 181 ;164.000,00;164.000,00;0.00;Casa, 0.00 de área total, 37.07 de área privativa, 258.25 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420027581
 8444422978036 ;RR ;BOA VISTA ;CIDADE SATELITE ;AVENIDA GEMEOS, N. SN, LT 02 QD 73 ;208.000,00;208.000,00;0.00;Casa, 0.00 de área total, 53.91 de área privativa, 384.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422978036
 8555505201316 ;RR ;BOA VISTA ;CIDADE SATELITE ;RUA MERCURIO, N. 382, LT 05 QD 11 ;189.000,00;189.000,00;0.00;Casa, 0.00 de área total, 61.42 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555505201316
 8444419948725 ;RR ;BOA VISTA ;RESIDENCIAL MONTE CRISTO ;AVENIDA BERTO SABINO DE OLIVEIRA, N. 1832, . ;125.000,00;125.000,00;0.00;Casa, 0.00 de área total, 35.00 de área privativa, 250.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419948725
 8444421397846 ;RR ;BOA VISTA ;RESIDENCIAL MONTE CRISTO ;RUA LUCIANE GOMES COSTA, N. 1121, LT 510 QD 80 ;150.000,00;150.000,00;0.00;Casa, 0.00 de área total, 45.51 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421397846
 8444422028810 ;RR ;BOA VISTA ;RESIDENCIAL MONTE CRISTO ;RUA ALDRIN DIOGO RODRIGUES DE MELO, N. 364, . ;126.000,00;126.000,00;0.00;Casa, 0.00 de área total, 42.60 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422028810
 8444410066533 ;RR ;BOA VISTA ;JARDIM TROPICAL ;RUA 6, N. 565, LT 58 QD 803 ;104.742,99;95.000,00;0.00;Casa, 0.00 de área total, 47.72 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410066533
 10182218 ;RR ;BOA VISTA ;JARDIM PRIMAVERA ;RUA FLAMBOIANTES, N. S/N, LT 27, QD 446 ;250.000,00;212.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 303.75 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10182218
 8444425941346 ;RR ;BOA VISTA ;DR AIRTON ROCHA ;RUA JOSE HAMILTON GONDIM, N. SN, LT 412 QD 769 ZN 13 ;143.271,97;108.000,00;0.00;Casa, 0.00 de área total, 46.00 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425941346
 10190113 ;RR ;BOA VISTA ;JARDIM PRIMAVERA ;RUA FLAMBOIAN, N. 00, ST 12, QD 446, LT 39 (ANT QD 17, LT 17 ;163.493,44;74.000,00;0.00;Comercial, 0.00 de área total, 300.00 de área privativa, 308.75 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10190113
 8444411844190 ;RR ;SAO LUIZ ;CENTRO ;RUA JOAQUIM VALERIO, N. S/N, QD 14, LT 45 ;115.500,00;210.000,00;45.00;Casa, 0.00 de área total, 253.92 de área privativa, 765.00 de área do terreno,  2 qto(s), varanda, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411844190
 1444408494614 ;RR ;SAO LUIZ ;CENTRO ;AVENIDA SÃO LUIZ, N. SN, LT 306, QD 06 ;286.913,76;388.877,43;26.23;Casa, 264.00 de área total, 264.00 de área privativa, 240.00 de área do terreno,  3 qto(s), WC, 2 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408494614
