
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444426132271 ;SC ;AGUAS MORNAS ;SANTA CRUZ DA FIGUEIRA ;RUA ENGELBERTO KIRCHNER NETO, N. 58, CASA 01 ;230.000,00;230.000,00;0.00;Casa, 0.00 de área total, 83.40 de área privativa, 178.35 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426132271
 8444407009664 ;SC ;ARAQUARI ;ITINGA ;RUA SANTA FE, N. 984, CS 02 ;100.800,00;168.000,00;40.00;Casa, 0.00 de área total, 57.18 de área privativa, 156.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407009664
 8444413800211 ;SC ;ARAQUARI ;ITINGA ;RUA ASCURRA, N. 30, CS 001 ;90.000,00;150.000,00;40.00;Casa, 0.00 de área total, 49.00 de área privativa, 145.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413800211
 8787706471400 ;SC ;ARAQUARI ;ITINGA ;RUA DAS CARPAS, N. 562, CS 111 ;123.500,00;190.000,00;35.00;Casa, 0.00 de área total, 50.01 de área privativa, 69.90 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706471400
 1444406396097 ;SC ;ARAQUARI ;ITINGA ;RUA MONACO, N. 355, LT 55 QD C ;161.065,00;150.000,00;0.00;Casa, 0.00 de área total, 59.86 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406396097
 8555506124153 ;SC ;ARARANGUA ;MATO ALTO ;RUA ANTONIO BERTONCINI, N. 1200, Apto 34, BL B ;134.000,00;134.000,00;0.00;Apartamento, 0.00 de área total, 53.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555506124153
 10141322 ;SC ;ASCURRA ;ASCURRA ;RUA DANTE ZONTA (ANTIGA RUA PM-65), N. 281 ;1.015.000,00;2.030.000,00;50.00;Galpão, 0.00 de área total, 1818.00 de área privativa, 7828.20 de área do terreno, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10141322
 8444417636483 ;SC ;BALNEARIO RINCAO ;LAGOA DOS FREITAS ;RUA ARCO IRIS, N. SN,  LT 278 QD 500 ;160.000,00;160.000,00;0.00;Casa, 0.00 de área total, 58.37 de área privativa, 328.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417636483
 1444416367820 ;SC ;BARRA VELHA ;QUINTA DOS ACORIANOS ;AVENIDA AVENIDA DOS ACORES, N. 1199, CASA 03 BLOCO 03 ;272.000,00;272.000,00;0.00;Casa, 0.00 de área total, 60.00 de área privativa, 84.55 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416367820
 8787713054240 ;SC ;BIGUACU ;BOM VIVER ;RUA ADELINO MACHADO, N. 329, Apto 401, BL 08 ;137.939,05;210.000,00;34.32;Apartamento, 0.00 de área total, 43.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713054240
 8787710843317 ;SC ;BIGUACU ;BOM VIVER ;RUA ADELINO MACHADO, N. 329, Apto 204, BL 18 ;120.781,34;152.000,00;20.54;Apartamento, 0.00 de área total, 43.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710843317
 8555531613189 ;SC ;BIGUACU ;BOM VIVER ;RUA BENTA SOARES LUIZ, N. 262, Apto 108, BLOCO B GARAGEM 30 ;145.030,45;182.000,00;20.32;Apartamento, 0.00 de área total, 46.97 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531613189
 8555507939363 ;SC ;BIGUACU ;BOM VIVER ;RUA JOSE ANGELO PETIT, N. 74, 74 ;390.000,00;390.000,00;0.00;Casa, 0.00 de área total, 69.72 de área privativa, 304.80 de área do terreno,  3 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555507939363
 8555514555176 ;SC ;BIGUACU ;BOM VIVER ;RUA AMARO DAMASIO, N. 110, Apto 43, BL 10 VG 108 ;130.000,00;130.000,00;0.00;Apartamento, 0.00 de área total, 41.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555514555176
 8787710190453 ;SC ;BIGUACU ;BOM VIVER ;RUA ADELINO MACHADO, N. 329, Apto 103, BL 21 VG 379 ;190.000,00;190.000,00;0.00;Apartamento, 0.00 de área total, 43.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710190453
 8787710709815 ;SC ;BIGUACU ;BOM VIVER ;RUA ADELINO MACHADO, N. 329, Apto 204, BLOCO 19 ;197.000,00;197.000,00;0.00;Apartamento, 0.00 de área total, 43.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710709815
 8787712936916 ;SC ;BIGUACU ;BOM VIVER ;RUA ADELINO MACHADO, N. 329, Apto 202, BL 19 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 43.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712936916
 8444405269626 ;SC ;BIGUACU ;RIO CAVEIRAS ;RUA VEREADOR ANTONIO FAGUNDES, N. 222, Apto 201, . ;250.000,00;196.000,00;0.00;Apartamento, 0.00 de área total, 54.15 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405269626
 8787709484139 ;SC ;BLUMENAU ;PROGRESSO ;RUA JOAO DEOLA, N. 150, Apto 304, BL 01 ;108.000,00;180.000,00;40.00;Apartamento, 0.00 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709484139
 8444416394990 ;SC ;BLUMENAU ;ITOUPAVAZINHA ;RUA ERWIN GLAU, N. 167, CS 01 ;188.300,00;269.000,00;30.00;Casa, 0.00 de área total, 71.95 de área privativa, 141.60 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416394990
 8555537945477 ;SC ;BLUMENAU ;ITOUPAVAZINHA ;RUA FREDERICO JENSEN, N. 2440, Apto 906, BLOCO 01 ;175.000,00;250.000,00;30.00;Apartamento, 0.00 de área total, 62.69 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537945477
