
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444403158894 ;SE ;ARACAJU ;BUGIO ;RUA FAUSTINA ARAUJO LIMA, N. SN, Apto 202, BL 12 ;46.486,30;83.880,00;44.58;Apartamento, 0.00 de área total, 48.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403158894
 8555534329783 ;SE ;ARACAJU ;JAPAOZINHO ;AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 1340, Apto 6, BLOCO PARQUE EOLICO ;61.516,20;111.000,00;44.58;Apartamento, 0.00 de área total, 38.99 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534329783
 8555535583853 ;SE ;ARACAJU ;JAPAOZINHO ;AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 1340, Apto 106, BL PARQUE DA CIDADE ;65.395,60;118.000,00;44.58;Apartamento, 0.00 de área total, 49.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535583853
 8444409457397 ;SE ;ARACAJU ;JABOTIANA ;RUA EDMUNDO DA SILVEIRA COELHO ANTIGA RUA 16, N. 40, Apto 401, 3 PAVIMENTO ;112.082,04;202.000,00;44.52;Apartamento, 61.01 de área total, 56.34 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409457397
 8444407731629 ;SE ;ARACAJU ;SOLEDADE ;RUA M, N. 100, Apto 204, BLOCO 1 ;60.070,20;106.000,00;43.33;Apartamento, 0.00 de área total, 63.42 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407731629
 8444411484630 ;SE ;ARACAJU ;CIDADE NOVA ;RUA A, N. 123, Apto 102, BL 09 ;45.336,00;80.000,00;43.33;Apartamento, 0.00 de área total, 42.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411484630
 8444409991008 ;SE ;ARACAJU ;SANTO ANTONIO ;RUA VILA ANA, N. 26 ;43.069,20;76.000,00;43.33;Casa, 42.30 de área total, 42.30 de área privativa, 63.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409991008
 8444409982211 ;SE ;ARACAJU ;SANTOS DUMONT ;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, N. SN, Apto 101, BLOCO 17 ;59.220,15;104.500,00;43.33;Apartamento, 0.00 de área total, 45.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409982211
 8444413459820 ;SE ;ARACAJU ;SANTOS DUMONT ;AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 275, Apto 103, ED COLINA DAS ARVORES ;62.337,00;110.000,00;43.33;Apartamento, 0.00 de área total, 42.39 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413459820
 10139933 ;SE ;ARACAJU ;SAO JOSE ;RUA DOM JOSE TOMAZ, N. 442 ;512.575,00;875.000,00;41.42;Casa, 0.00 de área total, 350.40 de área privativa, 41.40 de área do terreno,  3 qto(s), a.serv, WC, 3 sala(s), DCE, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10139933
 8444411067088 ;SE ;ARACAJU ;SAO CONRADO ;RUA C, N. 200, Apto 102, BL 08 ;84.000,00;140.000,00;40.00;Apartamento, 0.00 de área total, 57.20 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411067088
 8555534331907 ;SE ;ARACAJU ;JAPAOZINHO ;AVENIDA GENERAL EUCLIDES FIGUEIREDO, N. 1340, Apto 301, BL PQ DO CANGACO ;86.880,00;144.800,00;40.00;Apartamento, 0.00 de área total, 54.26 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534331907
 1444407006438 ;SE ;ARACAJU ;FAROLANDIA ;RUA LENIO DE MOURA MORAIS (ANTIGA RUA E-1), N. 255, Apto 304, BL 06 ;96.899,99;150.000,00;35.41;Apartamento, 79.88 de área total, 59.68 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407006438
 1444418130720 ;SE ;ARACAJU ;GRAGERU ;RUA URQUIZA LEAL N 840 1003, N. 840, Apto 1003, APTO ;260.984,00;404.000,00;35.40;Apartamento, 0.00 de área total, 102.09 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418130720
 1444401249967 ;SE ;ARACAJU ;SANTOS DUMONT ;RUA C, N. 155, Apto 203, RUA ;80.750,00;125.000,00;35.40;Apartamento, 0.00 de área total, 62.14 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401249967
 1444407136935 ;SE ;ARACAJU ;SANTOS DUMONT ;RUA QUATRO, N. SN, LT 136A ;206.720,00;320.000,00;35.40;Casa, 0.00 de área total, 139.09 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407136935
 1444407174136 ;SE ;ARACAJU ;SANTOS DUMONT ;RUA RUA JANIO BOMFIM ANTIGA RUA JONALDO BOMFIM, N. 570, LT 10 ;116.280,00;180.000,00;35.40;Casa, 0.00 de área total, 202.87 de área privativa, 315.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407174136
 8444410400719 ;SE ;ARACAJU ;BUGIO ;AVENIDA CENTENARIO, N. 29 ;203.490,00;315.000,00;35.40;Casa, 200.00 de área total, 200.00 de área privativa, 162.00 de área do terreno,  2 qto(s), a.serv, WC, 4 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410400719
 8555519665646 ;SE ;ARACAJU ;DEZOITO DO FORTE ;RUA EVERTON COELHO, N. 392, Apto 202, BL 01 ;106.049,50;151.499,29;30.00;Apartamento, 0.00 de área total, 71.84 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519665646
 1444413432370 ;SE ;ARACAJU ;MATAPOA ;RUA C, N. SN, LT 27, ZONA DE EXPANSAO ;278.990,91;397.000,00;29.73;Terreno, 0.00 de área total, 0.00 de área privativa, 2091.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413432370
 10166228 ;SE ;ARACAJU ;SUISSA ;RUA TENENTE WENDEL QUARANTA DOS SANTOS, N. 1489 ;446.305,50;615.000,00;27.43;Comercial, 0.00 de área total, 256.78 de área privativa, 333.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10166228
