
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444408048450 ;SP ;ADOLFO ;BAIRRO ADOLFO ;RUA RUI COSTA N 811 CS811 QDG LT1, N. 811, QDG LT1 ;79.338,00;140.000,00;43.33;Casa, 0.00 de área total, 54.82 de área privativa, 232.84 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408048450
 8787709605700 ;SP ;ALTINOPOLIS ;CENTRO ;RUA 6, N. 255, LOTE 32 QUADRA 15 ;138.000,00;138.000,00;0.00;Casa, 0.00 de área total, 46.10 de área privativa, 140.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709605700
 1444415727831 ;SP ;ALUMINIO ;BREJO ;RUA ANGELINO SOARES DA CRUZ, N. 255, Apto 32, BLOCO 1, ED JOAO TISEO ;190.293,77;181.000,00;0.00;Apartamento, 0.00 de área total, 46.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415727831
 8444409157504 ;SP ;ALVARES MACHADO ;PARQUE DOS PINHEIROS ;RUA MARTINS PENA, N. 741, LT 18A ;84.238,40;152.000,00;44.58;Casa, 0.00 de área total, 59.95 de área privativa, 126.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409157504
 8444414884907 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA SILVIO ROMERO, N. 817 ;66.108,00;105.000,00;37.04;Casa, 0.00 de área total, 55.45 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414884907
 1444419719060 ;SP ;ALVARES MACHADO ;RES PORTINARI II ;RUA DAS ACACIAS, N. 107, QD J, LT 06 ;800.000,00;1.000.000,00;20.00;Casa, 0.00 de área total, 179.43 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419719060
 8444429464933 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA COELHO NETO, N. 114, LOTE 35B QUADRA 1 ;140.728,16;163.000,00;13.67;Casa, 0.00 de área total, 53.23 de área privativa, 148.28 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429464933
 8444411691920 ;SP ;ALVARES MACHADO ;CENTRO ;RUA INGLESES DE SOUSA, N. 760, LOTE 06A QD 01 ;136.000,00;136.000,00;0.00;Casa, 0.00 de área total, 55.45 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411691920
 8444428241639 ;SP ;ALVARES MACHADO ;JARDIM SÃO FRANCISCO ;RUA DOS ALAGOANOS, N. SN, QD 5 LT12B ;159.500,00;67.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428241639
 8444425947883 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL D ;RUA JOAO DE AZEVEDO SOARES, N. SN, QD O LT 15 A ;144.921,93;58.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425947883
 1444419559240 ;SP ;ALVARES MACHADO ;PARQUE DOS PINHEIROS ;RUA BERNARDO GUIMARAES, N. SN, LT 22A QD 10 ;159.500,00;63.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419559240
 8444428178910 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA SOUZA CALDAS, N. SN, LT 04 QD O ;160.000,00;40.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 126.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428178910
 8555538136831 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 306, BLOCO 07 ;98.093,40;177.000,00;44.58;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538136831
 8444420555413 ;SP ;AMERICANA ;PARQUE LIBERDADE ;RUA SERRA DO PARANAPIACABA, N. 235, 0 ;163.209,60;288.000,00;43.33;Casa, 0.00 de área total, 103.39 de área privativa, 174.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420555413
 8555503799400 ;SP ;AMERICANA ;PARQUE UNIVERSITARIO ;RUA SUMARE, N. 155, Apto 102, BL A ;141.000,00;235.000,00;40.00;Apartamento, 0.00 de área total, 59.99 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503799400
 8444410112594 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 1518, Apto 321, BL 3 ;103.927,27;173.212,11;40.00;Apartamento, 0.00 de área total, 50.16 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410112594
 8444413104207 ;SP ;AMERICANA ;BARROCA ;AVENIDA COMENDADOR THOMAZ FORTUNATO, N. 2000, Apto 301, BL 08 ;103.560,00;172.600,00;40.00;Apartamento, 0.00 de área total, 50.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413104207
 1444414024420 ;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 204, BL 18  SUB 02 ;107.236,00;166.000,00;35.40;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414024420
 8787705580214 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 204, BL 25 ;117.098,40;180.151,39;35.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705580214
 8444409946800 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;ESTRADA DA BALSA, N. 2303, Apto 26, 0 ;130.000,00;200.000,00;35.00;Apartamento, 0.00 de área total, 58.66 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409946800
 8444410990281 ;SP ;AMERICANA ;SAO VITO ;RUA ARNO TOGNETTA, N. 401, Apto 204,  BL 2 ;150.000,00;200.000,00;25.00;Apartamento, 0.00 de área total, 50.20 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410990281
