
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444414149093 ;TO ;ALVORADA ;JARDIM ALVORADA ;QUADRA 8, N. SN, LT 28, QD 08 ;57.803,40;102.000,00;43.33;Casa, 0.00 de área total, 68.74 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414149093
 8444423691580 ;TO ;ARAGUAINA ;LOTEAMENTO COSTA ESMERALDA ;QUADRA 21  AVENIDA PALMAS, N. SN, LT  25 ;65.170,50;115.000,00;43.33;Casa, 0.00 de área total, 52.08 de área privativa, 162.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423691580
 8444415725047 ;TO ;ARAGUAINA ;LOTEAMENTO FLAMBOYANT ;RUA DAS MANGABAS, N. 32A, QUADRA 11 ;87.600,00;146.000,00;40.00;Casa, 0.00 de área total, 67.78 de área privativa, 240.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415725047
 1555516888751 ;TO ;ARAGUAINA ;SAO JOAO ;RUA DOIS DE ABRIL, N. SN, LT 06 QD 05 ;113.696,00;176.000,00;35.40;Casa, 0.00 de área total, 74.50 de área privativa, 354.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555516888751
 8787703738015 ;TO ;ARAGUAINA ;LOTEAMENTO PARQUE DO LAGO ;RUA 2, N. SN, LOTE 11 QUADRA 1A ;90.860,11;135.000,00;32.70;Casa, 0.00 de área total, 65.20 de área privativa, 225.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703738015
 10173683 ;TO ;ARAGUAINA ;SETOR CENTRAL ;RUA GAUCHA, N. SN, QD 2-A, LT 5-A ;230.070,04;317.031,88;27.43;Terreno, 0.00 de área total, 0.00 de área privativa, 321.90 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10173683
 10171615 ;TO ;ARAGUAINA ;LOTEAMENTO MARTINS JORGE ;RUA BUENOS AIRES, N. 00, QD R-17, LT 10 ;576.931,50;795.000,00;27.43;Casa, 0.00 de área total, 300.00 de área privativa, 448.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171615
 8787701086410 ;TO ;ARAGUAINA ;LOTEAMENTO PARQUE DO LAGO ;RUA 8, N. SN, QD 02 LT 17 ;140.000,00;140.000,00;0.00;Casa, 0.00 de área total, 61.70 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701086410
 8444412193168 ;TO ;ARAGUAINA ;MORADA DO SOL ;RUA 10, N. SN, LT 0022 A QD 31 SETOR 35 ;178.500,00;178.500,00;0.00;Casa, 0.00 de área total, 70.67 de área privativa, 257.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412193168
 8444422841413 ;TO ;ARAGUAINA ;LOTEAMENTO LAGO SUL ;RUA DALIA, N. SN, LT34 QD58 ;128.000,00;128.000,00;0.00;Casa, 0.00 de área total, 51.50 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422841413
 1444406514170 ;TO ;ARAGUATINS ;Nova Araguatins ;RUA 31 DE MARÇO, N. 1678, QD 155, LT 01 ;103.360,00;160.000,00;35.40;Casa, 0.00 de área total, 97.33 de área privativa, 17.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406514170
 8444404747893 ;TO ;AUGUSTINOPOLIS ;LOT JARDIM PRIMAVER ;RUA MAURICIO GOMES DOS SANTOS, N. SN, QD 14 LT 17 ;48.000,00;80.000,00;40.00;Casa, 0.00 de área total, 54.60 de área privativa, 279.45 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404747893
 1444404267419 ;TO ;AUGUSTINOPOLIS ;CENTRO ;RUA TAPAJOS, N. SN, LT 06 QD 04 ;155.000,00;155.000,00;0.00;Casa, 0.00 de área total, 106.50 de área privativa, 228.76 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404267419
 10141747 ;TO ;COLINAS DO TOCANTINS ;COLINAS DO TOCANTINS ;AVENIDA ERNESTO BALAS BARROS, N. 2007, QUADRA M-69, LOTE 04 - SANTA ROSA ;87.870,00;150.000,00;41.42;Casa, 0.00 de área total, 97.27 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10141747
 1444403493253 ;TO ;COMBINADO ;SETOR RODOVIÁRIO ;RUA DEPUTADO UIATAN, N. SN, QD 08 LT 11 A ;65.000,00;65.000,00;0.00;Casa, 0.00 de área total, 36.00 de área privativa, 219.00 de área do terreno, a.serv, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403493253
 8555512587763 ;TO ;DIANOPOLIS ;SETOR BELA VISTA ;RUA TAMOIOS, N. SN, QD G1 LT 08 ;100.170,00;95.000,00;0.00;Casa, 0.00 de área total, 56.48 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512587763
 1444417999359 ;TO ;FIGUEIROPOLIS ;LOT CIDADE DE FIGUEI ;RUA 06 N  SN 0312A, N. SN, LT 12A QD 03 ;178.368,59;73.483,42;0.00;Casa, 0.00 de área total, 86.47 de área privativa, 234.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417999359
 8444401223079 ;TO ;GUARAI ;GUARAI ;AVENIDA B03, N. 3671, LT 15 QD 19 ;53.185,00;96.700,00;45.00;Casa, 0.00 de área total, 60.50 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401223079
 8444402144938 ;TO ;GUARAI ;GUARAI ;RUA DR PAULO DE TARSO, N. 2526, LT 14 QD 06 ;42.502,50;75.000,00;43.33;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402144938
 8555527041826 ;TO ;GURUPI ;PARQUE RESIDENCIAL NOVA FRONTEIRA ;RUA 6A, N. 437, 0 ;42.119,20;76.000,00;44.58;Casa, 0.00 de área total, 54.40 de área privativa, 234.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527041826
 8555535270286 ;TO ;GURUPI ;PARQUE RESIDENCIAL NOVA FRONTEIRA ;RUA 4, N. 456, LT 17 B  QD 09 ;52.649,00;95.000,00;44.58;Casa, 0.00 de área total, 55.10 de área privativa, 240.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535270286
